transformer,kVA,%LoadLoss,%NoLoadLoss,Xhl
T1,200,1.013,0.137,4.589461
T10,160,0.942,0.121,4.757706
T11,1000,0.657,0.113,4.653806
T12,100,1.22,0.13,4.663046
T13,400,0.677,0.156,4.873246
T14,160,0.942,0.121,4.757706
T15,400,0.677,0.156,4.873246
T16,160,0.942,0.121,4.757706
T17,100,1.22,0.13,4.663046
T18,100,1.22,0.13,4.663046
T19,200,1.013,0.137,4.589461
T2,100,1.22,0.13,4.663046
T20,160,0.942,0.121,4.757706
T21,200,1.013,0.137,4.589461
T22,500,0.691,0.129,4.75005
T23,160,0.942,0.121,4.757706
T3,200,1.013,0.137,4.589461
T4,100,1.22,0.13,4.663046
T5,1250,0.629,0.107,4.758565
T6,100,1.22,0.13,4.663046
T7,200,1.013,0.137,4.589461
T8,100,1.22,0.13,4.663046
T9,200,1.013,0.137,4.589461
