Name, Imax, %normal, %emergency, kW, kvar, NumCustomers, TotalCustomers, NumPhases, kVBase
Line.S01,    256.531,    64.13,    42.76,    4351.86,    2207.51, 0, 23, 3, 6.35 
Line.L1,    182.982,    45.75,    30.50,    3099.06,    1571.68, 0, 0, 3, 6.35 
Line.L2,    174.242,    43.56,    29.04,    2947.89,    1494.63, 0, 1, 3, 6.35 
Line.L3,    169.292,    42.32,    28.22,     2861.3,    1449.95, 0, 2, 3, 6.35 
Line.L4,    149.408,    37.35,    24.90,    2520.92,     1278.3, 0, 3, 3, 6.35 
Line.L5,    145.586,    36.40,    24.26,    2454.16,    1244.28, 0, 4, 3, 6.35 
Line.L6,    11.6812,     2.92,     1.95,   -196.213,   -100.958, 0, 13, 3, 6.35 
Line.L7,    16.0733,     4.02,     2.68,   -270.198,   -138.545, 0, 14, 3, 6.35 
Line.L8,      19.29,     4.82,     3.21,   -324.739,   -165.393, 0, 15, 3, 6.35 
Line.L9,    22.5484,     5.64,     3.76,   -379.951,   -193.003, 0, 16, 3, 6.35 
Line.L10,    14.8892,     3.72,     2.48,    251.149,    127.097, 0, 2, 3, 6.35 
Line.L11,    6.11568,     1.53,     1.02,      103.2,    52.1127, 0, 1, 3, 6.35 
Line.L12,    73.5497,    18.39,    12.26,    1245.87,    631.336, 0, 23, 3, 6.35 
Line.L13,    21.8422,     5.46,     3.64,    369.811,    187.808, 0, 1, 3, 6.35 
Line.L14,    51.7076,    12.93,     8.62,    876.018,    443.504, 0, 22, 3, 6.35 
Line.L15,    42.9741,    10.74,     7.16,    727.874,    368.436, 0, 21, 3, 6.35 
Line.L16,     6.0953,     1.52,     1.02,    103.177,    52.1433, 0, 1, 3, 6.35 
Line.L17,     36.882,     9.22,     6.15,    624.062,    316.013, 0, 20, 3, 6.35 
Line.L18, 0.00134457,     0.00,     0.00, 3.47539E-10, -0.0254901, 0, 0, 3, 6.35 
Line.L19,     72.922,    18.23,    12.15,    1228.41,    623.837, 0, 4, 3, 6.35 
Line.L20,    29.0108,     7.25,     4.84,    488.295,    248.591, 0, 3, 3, 6.35 
Line.L21,    24.6169,     6.15,     4.10,     414.31,     210.98, 0, 2, 3, 6.35 
Line.L22,    7.03127,     1.76,     1.17,    118.367,    60.1841, 0, 1, 3, 6.35 
Line.L23, 0.000484123,     0.00,     0.00, 3.87023E-10, -0.00914262, 0, 0, 3, 6.35 
Line.L24,    29.4377,     7.36,     4.91,    496.351,     250.93, 0, 4, 3, 6.35 
Line.L25,    14.1264,     3.53,     2.35,    238.123,    120.254, 0, 3, 3, 6.35 
Line.L26,    7.09419,     1.77,     1.18,    119.746,    60.0519, 0, 2, 3, 6.35 
Line.L27,    4.38821,     1.10,     0.73,    73.9844,    37.2993, 0, 1, 3, 6.35 
Line.L28, 0.00992167,     0.00,     0.00, 1.18103E-8,  -0.187316, 0, 0, 3, 6.35 
Line.L29,     155.92,    38.98,    25.99,    2634.79,    1335.87, 0, 2, 3, 6.35 
Line.L30,    13.3721,     3.34,     2.23,    226.286,    113.932, 0, 0, 3, 6.35 
Line.L31,    13.3752,     3.34,     2.23,    226.227,    114.024, 0, 0, 3, 6.35 
Line.L32,    43.2263,    10.81,     7.20,    728.578,    368.985, 0, 12, 3, 6.35 
Line.L33,    37.4358,     9.36,     6.24,   -631.193,   -320.089, 0, 18, 3, 6.35 
Line.L34,    42.6496,    10.66,     7.11,    -719.59,   -364.471, 0, 19, 3, 6.35 
Line.L36,    36.8845,     9.22,     6.15,      623.8,    315.943, 0, 20, 3, 6.35 
Line.L37,    29.2653,     7.32,     4.88,    494.615,    250.882, 0, 19, 3, 6.35 
Transformer.T1,    8.74171,    75.71,    55.52,    147.911,    74.9552, 1, 1, 3, 6.35 
Transformer.T2,    4.95021,    85.74,    62.88,    83.5084,    42.7071, 1, 1, 3, 6.35 
Transformer.T3,    6.51387,    56.41,    41.37,    110.172,    55.2058, 1, 1, 3, 6.35 
Transformer.T4,    3.82328,    66.22,    48.56,    64.4963,    32.5842, 1, 1, 3, 6.35 
Transformer.T5,    54.9078,    76.08,    55.79,    924.689,    469.898, 1, 1, 3, 6.35 
Transformer.T6,     4.3928,    76.09,    55.80,    73.9753,    37.6082, 1, 1, 3, 6.35 
Transformer.T7,    3.21744,    27.86,    20.43,    54.5298,    26.8566, 1, 1, 3, 6.35 
Transformer.T8,    3.26155,    56.49,    41.43,    55.0889,    27.6595, 1, 1, 3, 6.35 
Transformer.T9,    8.77389,    75.98,    55.72,     147.94,    74.9936, 1, 1, 3, 6.35 
Transformer.T10,     5.2155,    56.46,    41.40,    88.1403,    44.2853, 1, 1, 3, 6.35 
Transformer.T11,     43.912,    76.06,    55.78,    739.739,    375.029, 1, 1, 3, 6.35 
Transformer.T12,    4.39395,    76.11,    55.81,    73.9763,    37.6096, 1, 1, 3, 6.35 
Transformer.T13,    17.5861,    76.15,    55.84,    295.915,    150.796, 1, 1, 3, 6.35 
Transformer.T14,    7.03211,    76.12,    55.82,    118.364,     60.217, 1, 1, 3, 6.35 
Transformer.T15,    15.3137,    66.31,    48.63,    258.001,     130.63, 1, 1, 3, 6.35 
Transformer.T16,    7.03285,    76.13,    55.83,    118.364,     60.218, 1, 1, 3, 6.35 
Transformer.T17,    2.70802,    46.90,    34.40,    45.7507,    22.8307, 1, 1, 3, 6.35 
