Element,  Total(W), Total(var),  I2R(W), I2X(var), No-load(W), No-load(var)
Line.S01, 6929.625, 4494.568, 6929.625, 4494.568, 0, 0
Line.L1, 3264.562, 2098.557, 3264.562, 2098.557, 0, 0
Line.L2, 3078.531, 1975.328, 3078.531, 1975.328, 0, 0
Line.L3, 223.5472, 143.2698, 223.5472, 143.2698, 0, 0
Line.L4, 2263.541, 1442.029, 2263.541, 1442.029, 0, 0
Line.L5, 826.6141, 525.8577, 826.6141, 525.8577, 0, 0
Line.L6, 9.578265, -21.17528, 9.578265, -21.17528, 0, 0
Line.L7, 11.08296, -9.518677, 11.08296, -9.518677, 0, 0
Line.L8, 123.3323, -48.93791, 123.3323, -48.93791, 0, 0
Line.L9, 93.18796, -10.74681, 93.18796, -10.74681, 0, 0
Line.L10, 8.646055, -9.60933, 8.646055, -9.60933, 0, 0
Line.L11, 5.836023, -57.25044, 5.836023, -57.25044, 0, 0
Line.L12, 42.19457, 24.5398, 42.19457, 24.5398, 0, 0
Line.L13, 42.79592, -7.415776, 42.79592, -7.415776, 0, 0
Line.L14, 239.8322, 121.5732, 239.8322, 121.5732, 0, 0
Line.L15, 633.8607, 279.5613, 633.8607, 279.5613, 0, 0
Line.L16, 0.2897969, -2.884115, 0.2897969, -2.884115, 0, 0
Line.L17, 262.6159, 95.86894, 262.6159, 95.86894, 0, 0
Line.L18, -2.527478E-8, -25.49007, -2.527478E-8, -25.49007, 0, 0
Line.L19, 373.3006, 216.925, 373.3006, 216.925, 0, 0
Line.L20, 8.205863, 1.561414, 8.205863, 1.561414, 0, 0
Line.L21, 28.36094, 0.2778707, 28.36094, 0.2778707, 0, 0
Line.L22, 3.278078, -23.75896, 3.278078, -23.75896, 0, 0
Line.L23, 7.075777E-9, -9.142619, 7.075777E-9, -9.142619, 0, 0
Line.L24, 226.4558, 46.10806, 226.4558, 46.10806, 0, 0
Line.L25, 12.45276, -16.22514, 12.45276, -16.22514, 0, 0
Line.L26, 10.99468, -78.10884, 10.99468, -78.10884, 0, 0
Line.L27, 6.387986, -125.2764, 6.387986, -125.2764, 0, 0
Line.L28, 0.00001182557, -187.3163, 0.00001182557, -187.3163, 0, 0
Line.L29, 3697.76, 2360.886, 3697.76, 2360.886, 0, 0
Line.L30, 59.63882, -92.05171, 59.63882, -92.05171, 0, 0
Line.L31, 21.28139, -32.81502, 21.28139, -32.81502, 0, 0
Line.L32, 102.0221, 45.43675, 102.0221, 45.43675, 0, 0
Line.L33, 256.8726, 96.35411, 256.8726, 96.35411, 0, 0
Line.L34, 936.3091, 410.9097, 936.3091, 410.9097, 0, 0
Line.L36, 212.2407, 77.53632, 212.2407, 77.53632, 0, 0
Line.L37, 293.9684, 57.49057, 293.9684, 57.49057, 0, 0
Transformer.T1, 3911.276, 5215.193, 3911.276, 5215.193, 0, 0
Transformer.T2, 2508.431, 3477.159, 2508.431, 3477.159, 0, 0
Transformer.T3, 2171.717, 2895.782, 2171.717, 2895.782, 0, 0
Transformer.T4, 1496.33, 2074.227, 1496.33, 2074.227, 0, 0
Transformer.T5, 24689.6, 34008.5, 24689.6, 34008.5, 0, 0
Transformer.T6, 1975.322, 2738.186, 1975.322, 2738.186, 0, 0
Transformer.T7, 529.842, 706.6173, 529.842, 706.6173, 0, 0
Transformer.T8, 1088.94, 1509.521, 1088.94, 1509.521, 0, 0
Transformer.T9, 3940.128, 5253.661, 3940.128, 5253.661, 0, 0
Transformer.T10, 1740.311, 2435.264, 1740.311, 2435.264, 0, 0
Transformer.T11, 19738.82, 26319.21, 19738.82, 26319.21, 0, 0
Transformer.T12, 1976.357, 2739.621, 1976.357, 2739.621, 0, 0
Transformer.T13, 7914.686, 11315.58, 7914.686, 11315.58, 0, 0
Transformer.T14, 3163.784, 4427.063, 3163.784, 4427.063, 0, 0
Transformer.T15, 6001.484, 8580.362, 6001.484, 8580.362, 0, 0
Transformer.T16, 3164.45, 4427.996, 3164.45, 4427.996, 0, 0
Transformer.T17, 750.6895, 1040.654, 750.6895, 1040.654, 0, 0
Transformer.T18, 1978.013, 2741.916, 1978.013, 2741.916, 0, 0
Transformer.T19, 2972.423, 3963.39, 2972.423, 3963.39, 0, 0
Transformer.T20, 2377.041, 3326.212, 2377.041, 3326.212, 0, 0
Transformer.T21, 3904.629, 5206.33, 3904.629, 5206.33, 0, 0
Transformer.T22, 9768.148, 13455.07, 9768.148, 13455.07, 0, 0
Transformer.T23, 2394.04, 3349.997, 2394.04, 3349.997, 0, 0
