Name, Imax, %normal, %emergency, kW, kvar, NumCustomers, TotalCustomers, NumPhases, kVBase
Line.S01,    252.459,    84.15,    70.13,    4283.38,    2104.51, 0, 23, 3, 6.35 
Line.L1,    208.242,    69.41,    57.85,    3492.96,    1801.48, 0, 0, 3, 6.35 
Line.L2,    199.617,    66.54,    55.45,    3343.24,    1726.34, 0, 1, 3, 6.35 
Line.L3,    194.777,    64.93,    54.10,    3257.15,     1684.2, 0, 2, 3, 6.35 
Line.L4,    169.272,    56.42,    47.02,    2815.15,    1481.29, 0, 3, 3, 6.35 
Line.L5,    165.545,    55.18,    45.98,    2748.59,    1450.26, 0, 4, 3, 6.35 
Line.L6,    10.1332,    10.13,     8.44,    145.033,    122.913, 0, 13, 3, 6.35 
Line.L7,    5.98854,     5.99,     4.99,    72.0124,    86.2074, 0, 14, 3, 6.35 
Line.L8,    3.33589,     3.34,     2.78,    17.5482,    60.0561, 0, 15, 3, 6.35 
Line.L9,    2.86378,     2.86,     2.39,   -37.0738,    38.8539, 0, 16, 3, 6.35 
Line.L10,     14.787,    14.79,    12.32,     247.54,    125.038, 0, 2, 3, 6.35 
Line.L11,    6.04196,     6.04,     5.03,    101.818,    49.6855, 0, 1, 3, 6.35 
Line.L12,     44.526,    24.74,    20.61,    783.963,    302.605, 0, 23, 3, 6.35 
Line.L13,     21.694,    21.69,    18.08,    363.256,    188.844, 0, 1, 3, 6.35 
Line.L14,    23.0941,    23.09,    19.25,    420.668,    113.973, 0, 22, 3, 6.35 
Line.L15,    14.7179,    14.72,    12.26,    274.697,     39.718, 0, 21, 3, 6.35 
Line.L16,    6.08763,     6.09,     5.07,    101.776,    52.6654, 0, 1, 3, 6.35 
Line.L17,    9.16512,     9.17,     7.64,    172.423,   -5.94727, 0, 20, 3, 6.35 
Line.L18,  0.0706374,     0.07,     0.06, 5.39154E-7,   -1.32886, 0, 0, 3, 6.35 
Line.L19,    72.4546,    24.15,    20.13,    1206.04,    627.735, 0, 4, 3, 6.35 
Line.L20,    28.8354,    16.02,    13.35,     480.09,    249.241, 0, 3, 3, 6.35 
Line.L21,     24.453,    24.45,    20.38,    407.097,    211.381, 0, 2, 3, 6.35 
Line.L22,    6.96845,     6.97,     5.81,    116.451,    59.2732, 0, 1, 3, 6.35 
Line.L23,  0.0254448,     0.03,     0.02, 2.56017E-8,  -0.477049, 0, 0, 3, 6.35 
Line.L24,    28.7186,    15.95,    13.30,    489.583,    225.241, 0, 4, 3, 6.35 
Line.L25,    13.6277,    13.63,    11.36,    235.036,    100.103, 0, 3, 3, 6.35 
Line.L26,    6.67962,     6.68,     5.57,    118.528,    40.2606, 0, 2, 3, 6.35 
Line.L27,    4.06586,     4.07,     3.39,    73.0133,    21.6554, 0, 1, 3, 6.35 
Line.L28,   0.520879,     0.52,     0.43, 0.000217251,    -9.7518, 0, 0, 3, 6.35 
Line.L29,    175.644,    58.55,    48.79,    2928.71,    1534.43, 0, 2, 3, 6.35 
Line.L30,    19.1652,    10.65,     8.87,    328.162,     149.87, 0, 0, 3, 6.35 
Line.L31,    19.3807,    10.77,     8.97,    327.858,    159.285, 0, 0, 3, 6.35 
Line.L32,    64.4842,    21.49,    17.91,    1051.94,    598.063, 0, 12, 3, 6.35 
Line.L33,    15.7999,    15.80,    13.17,   -284.624,   -82.4465, 0, 18, 3, 6.35 
Line.L34,    20.8832,    11.60,     9.67,   -372.092,   -123.535, 0, 19, 3, 6.35 
Line.L36,    9.15973,     9.16,     7.63,    172.315,  -0.667701, 0, 20, 3, 6.35 
Line.L37,     4.1293,     2.29,     1.91,    44.9039,   -63.3405, 0, 19, 3, 6.35 
Transformer.T1,    8.71759,    75.50,    55.36,    145.652,    76.0705, 1, 1, 3, 6.35 
Transformer.T2,     4.9364,    85.50,    62.70,    82.1985,    43.3548, 1, 1, 3, 6.35 
Transformer.T3,    6.51895,    56.46,    41.40,    109.038,    55.8501, 1, 1, 3, 6.35 
Transformer.T4,    3.82438,    66.24,    48.58,    63.7681,    32.9858, 1, 1, 3, 6.35 
Transformer.T5,    54.6103,    75.67,    55.49,    906.686,    477.103, 1, 1, 3, 6.35 
Transformer.T6,    4.38952,    76.03,    55.75,    72.9726,    38.1315, 1, 1, 3, 6.35 
Transformer.T7,     3.2412,    28.07,    20.58,    54.4538,    27.0252, 1, 1, 3, 6.35 
Transformer.T8,     3.2709,    56.65,    41.55,    54.5947,     27.961, 1, 1, 3, 6.35 
Transformer.T9,    8.76555,    75.91,    55.67,    145.665,    76.1404, 1, 1, 3, 6.35 
Transformer.T10,    5.21987,    56.51,    41.44,    87.1633,    44.7912, 1, 1, 3, 6.35 
Transformer.T11,    43.6861,    75.67,    55.49,    725.598,    380.951, 1, 1, 3, 6.35 
Transformer.T12,    4.38915,    76.02,    55.75,    72.9724,     38.131, 1, 1, 3, 6.35 
Transformer.T13,    17.5086,    75.81,    55.60,    290.459,    153.037, 1, 1, 3, 6.35 
Transformer.T14,    7.01324,    75.92,    55.68,    116.429,    61.0992, 1, 1, 3, 6.35 
Transformer.T15,    15.2799,    66.16,    48.52,    254.014,    132.376, 1, 1, 3, 6.35 
Transformer.T16,    7.01636,    75.95,    55.70,     116.43,    61.1039, 1, 1, 3, 6.35 
Transformer.T17,    2.72048,    47.12,    34.55,    45.4492,    23.0428, 1, 1, 3, 6.35 
Transformer.T18,    4.39825,    76.18,    55.87,    72.9755,    38.1445, 1, 1, 3, 6.35 
Transformer.T19,    7.62383,    66.02,    48.42,    127.324,    65.8617, 1, 1, 3, 6.35 
Transformer.T20,    6.09155,    65.94,    48.36,    101.774,    52.8255, 1, 1, 3, 6.35 
Transformer.T21,    8.71325,    75.46,    55.34,    145.651,    76.0643, 1, 1, 3, 6.35 
Transformer.T22,    21.7394,    75.31,    55.23,    362.974,    190.658, 1, 1, 3, 6.35 
Transformer.T23,    6.11826,    66.23,    48.57,    101.779,    52.8607, 1, 1, 3, 6.35 
