Element,  Total(W), Total(var),  I2R(W), I2X(var), No-load(W), No-load(var)
Line.S01, 6455.684, 429.0945, 6455.684, 429.0945, 0, 0
Line.L1, 4067.255, -936.4952, 4067.255, -936.4952, 0, 0
Line.L2, 3886.951, -1205.53, 3886.951, -1205.53, 0, 0
Line.L3, 284.5462, -102.4978, 284.5462, -102.4978, 0, 0
Line.L4, 2795.259, -1951.206, 2795.259, -1951.206, 0, 0
Line.L5, 1027.92, -781.4678, 1027.92, -781.4678, 0, 0
Line.L6, 48.36453, -1426.373, 48.36453, -1426.373, 0, 0
Line.L7, 10.33408, -873.9711, 10.33408, -873.9711, 0, 0
Line.L8, 27.25881, -6758.818, 27.25881, -6758.818, 0, 0
Line.L9, 10.55501, -3737.629, 10.55501, -3737.629, 0, 0
Line.L10, 57.0114, -787.9166, 57.0114, -787.9166, 0, 0
Line.L11, 38.4997, -3175.133, 38.4997, -3175.133, 0, 0
Line.L12, 38.06883, -211.8934, 38.06883, -211.8934, 0, 0
Line.L13, 282.4591, -1814.26, 282.4591, -1814.26, 0, 0
Line.L14, 319.7839, -1809.167, 319.7839, -1809.167, 0, 0
Line.L15, 498.2738, -7000.145, 498.2738, -7000.145, 0, 0
Line.L16, 1.931289, -160.0457, 1.931289, -160.0457, 0, 0
Line.L17, 108.2022, -3950.711, 108.2022, -3950.711, 0, 0
Line.L18, 0.000539188, -1328.861, 0.000539188, -1328.861, 0, 0
Line.L19, 354.6784, -2457.585, 354.6784, -2457.585, 0, 0
Line.L20, 19.96017, -270.1432, 19.96017, -270.1432, 0, 0
Line.L21, 187.0269, -929.9875, 187.0269, -929.9875, 0, 0
Line.L22, 21.5977, -1348.99, 21.5977, -1348.99, 0, 0
Line.L23, 0.00002526234, -477.0492, 0.00002526234, -477.0492, 0, 0
Line.L24, 533.5578, -7237.64, 533.5578, -7237.64, 0, 0
Line.L25, 77.52751, -1261.159, 77.52751, -1261.159, 0, 0
Line.L26, 65.82694, -4437.683, 65.82694, -4437.683, 0, 0
Line.L27, 37.58359, -6737.3, 37.58359, -6737.3, 0, 0
Line.L28, 0.2172513, -9751.804, 0.2172513, -9751.804, 0, 0
Line.L29, 4515.699, -2715.584, 4515.699, -2715.584, 0, 0
Line.L30, 304.841, -9414.283, 304.841, -9414.283, 0, 0
Line.L31, 110.4278, -3353.765, 110.4278, -3353.765, 0, 0
Line.L32, 218.4942, -1952.044, 218.4942, -1952.044, 0, 0
Line.L33, 304.465, -3702.946, 304.465, -3702.946, 0, 0
Line.L34, 546.3343, -14467.21, 546.3343, -14467.21, 0, 0
Line.L36, 87.39209, -3188.871, 87.39209, -3188.871, 0, 0
Line.L37, 12.9825, -9769.507, 12.9825, -9769.507, 0, 0
Transformer.T1, 1652.26, 6330.557, 1397.265, 6330.557, 254.9945, 4.440892E-16
Transformer.T2, 1198.487, 4124.813, 1079.161, 4124.813, 119.3267, -2.220446E-16
Transformer.T3, 1038.105, 3540.075, 781.3413, 3540.075, 256.7636, 0
Transformer.T4, 768.0714, 2475.785, 647.7228, 2475.785, 120.3486, 0
Transformer.T5, 6685.734, 41212.82, 5447.492, 41212.82, 1238.242, 0
Transformer.T6, 972.5713, 3261.529, 853.2985, 3261.529, 119.2728, -2.220446E-16
Transformer.T7, 453.8301, 875.2412, 193.1507, 875.2412, 260.6795, 0
Transformer.T8, 594.7434, 1811.048, 473.8067, 1811.048, 120.9366, -2.220446E-16
Transformer.T9, 1664.885, 6400.399, 1412.681, 6400.399, 252.2039, -7.105427E-15
Transformer.T10, 763.3283, 2941.187, 582.3141, 2941.187, 181.0142, 4.440892E-16
Transformer.T11, 5597.914, 32241.26, 4551.541, 32241.26, 1046.373, -5.506706E-14
Transformer.T12, 972.4466, 3260.975, 853.1534, 3260.975, 119.2931, 0
Transformer.T13, 2459.446, 13557.39, 1883.373, 13557.39, 576.0734, 1.421085E-14
Transformer.T14, 1229.272, 5309.232, 1051.174, 5309.232, 178.0972, 0
Transformer.T15, 2013.809, 10325.68, 1434.419, 10325.68, 579.3901, -1.421085E-14
Transformer.T16, 1230.048, 5313.955, 1052.109, 5313.955, 177.9385, 3.108624E-15
Transformer.T17, 449.2539, 1252.838, 327.7614, 1252.838, 121.4926, -2.220446E-16
Transformer.T18, 975.4948, 3274.516, 856.6963, 3274.516, 118.7985, 0
Transformer.T19, 1324.01, 4841.706, 1068.641, 4841.706, 255.3683, -7.105427E-15
Transformer.T20, 973.8548, 4005.473, 793.0368, 4005.473, 180.818, 3.996803E-15
Transformer.T21, 1651.125, 6324.262, 1395.876, 6324.262, 255.2491, 4.440892E-16
Transformer.T22, 2974.086, 16298.3, 2370.89, 16298.3, 603.1959, -1.421085E-14
Transformer.T23, 979.2451, 4040.676, 800.0071, 4040.676, 179.238, 3.552714E-15
