Feeders,DURBHAT FEEDER,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,UNDIR FEEDER,,,,,,,,,,,,,,,,
DTC Name,Dhumre,Manmohan Singh,Perigol,Venktesh Leela,Ritesh Developers,Rajendra Talak,Sneh Mandir,Shashikala Pai,Galshire,Shantadurga,Sanatan-I,Sanatan-II,Ramnathi,Kapileshwari,Matruchaya,Vamneshwar,Golden Properties,Ritesh,Paunwada,Mahalaxmi Nagar,Talaulim,New Talaulim,Wadi,Londiyar,Kaswada,Sewerage HTC,Durbhat,MG School,Chaferan,Shigmomand,Mogru,Shamrao Builder,Kunal,Pearls,Mahalaxmi Bandora,Agrashala,Hindu Jan Jagruti,Vagdor,Nagueshi Temple,Dhoshi,Kashimath Ground,Kharwada,Konar Gaunem,Talulem Bandora,Ram Mandir,Dempo HTC,R B Engineers,Undir Bhakle,Mulebhat,Maruti Temple,Chickale,Adpai,Kavle math,Old Shantadurga,Ramnathu Devasthan,RPRS School,Raigini ,Bandora Panchayat
DTC Capacity[KVA],200,200,400,200,400,630,200,Location Inaccessible,200,400,Transformer Inaccessible,Transformer Inaccessible,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,100,200,200,200,Location  inaccessible,200,200,200,200,200,200,200,Transformer Nameplate Damaged,200,200,200,200
DTC Serial Number,GP/240295,GP/240297,187,GP/240296,83,GP/200180,1209,,1317,138,,,1201,GP/240293,1324,1313,1319,1202,1316,1329,5516,1211,GP/240288,1326,1328,1320,1320,1200,G/220612,1205,1208,SVT/TR/325211,1203,1207,1204,GP/240616,Damaged Nameplate,1210,G2/230920,1199,1330,3394,5155,1150675,1318,,1322,1321,1327,1152,1316,1315,GP/240617,,GP/240614,1151,GP/240615,1206
DTC Location{GMap Link],https://maps.app.goo.gl/vPSuSDBafRHJhhi57?g_st=ipc,https://maps.app.goo.gl/pKPWYufgWCjxAuK19?g_st=ipc,https://maps.app.goo.gl/CKwc6TeeTuLcHfC38?g_st=ipc,https://maps.app.goo.gl/jFDdUGLzFPnAnKv86?g_st=ipc,https://maps.app.goo.gl/iCCpxAtQBh7tcExo8?g_st=ipc,https://maps.app.goo.gl/kt71jeGHDYZ4XeoN8?g_st=ipc,https://maps.app.goo.gl/eYNdKkvADbkXVgtP7?g_st=ipc,https://maps.app.goo.gl/9PhSkma9ELWDWCHy6?g_st=ipc,https://maps.app.goo.gl/HCy3maG53sEMMgYn8?g_st=ipc,https://maps.app.goo.gl/HYtWrf6BnoBMkLt48?g_st=ipc,https://maps.app.goo.gl/AhkNQCKrSyC1xA977?g_st=ipc,https://maps.app.goo.gl/AhkNQCKrSyC1xA977?g_st=ipc,https://maps.app.goo.gl/es4uFygt4tutD3BM7?g_st=ipc,https://maps.app.goo.gl/eaz9xoqh7ZUP1jU39,https://maps.app.goo.gl/yk6nMUmzqbjSb3UPA?g_st=ipc,https://maps.app.goo.gl/7HX3no7UCSLNBZt26?g_st=ipc,"https://maps.google.com?q=15.3876657,73.9971917&entry=gps&lucs=,94284493,94224825,94227247,94227248,94231188,94280568,47071704,47069508,94218641,94282134,94203019,47084304&g_st=ipc","https://maps.google.com?q=15.3881354,73.9981087&entry=gps&lucs=,94284493,94224825,94227247,94227248,94231188,94280568,47071704,47069508,94218641,94282134,94203019,47084304&g_st=ipc",https://maps.app.goo.gl/WMqVkVn2WFVL5jGX6?g_st=ipc,https://maps.app.goo.gl/zuCerCG8QEM7YdCM8?g_st=ipc,https://maps.app.goo.gl/36uwRKViTDFgydSZA?g_st=ipc,https://maps.app.goo.gl/jcJ4uXBFGaVduCCWA?g_st=ipc,https://maps.app.goo.gl/1cNzU8Ea8mgzN8vu7?g_st=ipc,https://maps.app.goo.gl/i8Defrwpb1jzuWpF9?g_st=ipc,"https://maps.google.com?q=15.3746636,73.9758229&entry=gps&lucs=,94284457,94224825,94227247,94227248,94231188,94280564,47071704,47069508,94218641,94282134,94203019,47084304&g_st=ipc",https://maps.app.goo.gl/nmWuyFG4N5uuBkJV6?g_st=ipc,https://maps.app.goo.gl/jRrsAbbdswyUz9Gf8?g_st=ipc,https://maps.app.goo.gl/FrhL3oL7x97U7pLm7?g_st=ipc,"https://maps.google.com?q=15.4186450,73.9706884&entry=gps&lucs=,94284457,94224825,94227247,94227248,94231188,94280564,47071704,47069508,94218641,94282134,94203019,47084304&g_st=ipc",https://maps.app.goo.gl/YiceHKcDVgVDiRZ6A?g_st=ipc,https://maps.app.goo.gl/ePfwxU6tmjZyvzzB8?g_st=ipc,https://maps.app.goo.gl/ZRpsCdfWq8im5RgWA?g_st=ipc,https://maps.app.goo.gl/tugEVKXNi4zDNfzi9?g_st=ipc,https://maps.app.goo.gl/2Kxnx16aefQ6kZwG6?g_st=ipc,https://maps.app.goo.gl/2ee6hQcbq9ZYnaTp7?g_st=ipc,"https://maps.google.com?q=15.4061627,73.9807893&entry=gps&lucs=,94284493,94224825,94227247,94227248,94231188,94280568,47071704,47069508,94218641,94282134,94203019,47084304&g_st=ipc",https://maps.app.goo.gl/5EGdvA3fBvzKGoiN7?g_st=ipc,https://maps.app.goo.gl/5Tfsnko1oHkfr1Wn7?g_st=ipc,https://maps.app.goo.gl/eF38TK426vY7DoULA?g_st=ipc,https://maps.app.goo.gl/iLMj3kvx5jJhAW9d7?g_st=ipc,"https://maps.google.com?q=15.4039472,73.9907074&entry=gps&lucs=,94284493,94224825,94227247,94227248,94231188,94280568,47071704,47069508,94218641,94282134,94203019,47084304&g_st=ipc",https://maps.app.goo.gl/Ap24LXmsMhsnLsbk8?g_st=ipc,https://maps.app.goo.gl/LKGMb4D1FcyiYLUz5?g_st=ipc,https://maps.app.goo.gl/29Y4kRQ2StMEuzbN6?g_st=ipc,https://maps.app.goo.gl/MsWGfTyGuMFKaNZn7?g_st=ipc,https://maps.app.goo.gl/TfTDWN6yjaQ74HeC6?g_st=ipc,https://maps.app.goo.gl/3h8ezeLSEje5rqG4A?g_st=ipc,https://maps.app.goo.gl/wScGyPuNKPZwhHEG7?g_st=ipc,https://maps.app.goo.gl/HPjv7ChpfxRVJaUx5?g_st=ipc,"https://maps.google.com?q=15.3828297,73.9631793&entry=gps&lucs=,94284457,94224825,94227247,94227248,94231188,94280564,47071704,47069508,94218641,94282134,94203019,47084304&g_st=ipc",https://maps.app.goo.gl/Z8NwmEdEF9LuJVhN8?g_st=ipc,"https://maps.google.com?q=15.3728060,73.9672451&entry=gps&lucs=,94284457,94224825,94227247,94227248,94231188,94280564,47071704,47069508,94218641,94282134,94203019,47084304&g_st=ipc",https://maps.app.goo.gl/AWwPScAEsZBC8SGZ6?g_st=ipc,https://maps.app.goo.gl/HYtWrf6BnoBMkLt48?g_st=ipc,https://maps.app.goo.gl/ZQHT8gYmj7A3Ew2G7?g_st=ipc,https://maps.app.goo.gl/kTovamUtL291Y4C9A?g_st=ipc,https://maps.app.goo.gl/4J1Pi5KJf71Y18AK8?g_st=ipc,https://maps.app.goo.gl/txVQE82mm3asHA7G9?g_st=ipc
Coordinates,"15°23'49.6""N 73°59'39.4""E","15°24'03.4""N 73°59'35.9""E","15°24'07.1""N 73°59'36.6""E","15°24'04.2""N 73°59'31.1""E","15°24'01.4""N 73°59'30.9""E","15°24'02.4""N 73°59'28.1""E","15°24'04.1""N 73°59'22.6""E","15.39624° N, 73.99077° E","15°23'48.2""N 73°59'13.7""E","15.3966091, 73.9858989","15.3989736, 73.9826702","15.3989736, 73.9826702","15.3991524, 73.9819849","15.39098° N, 73.99390° E","15°23'18.9""N 73°59'47.1""E","15°23'08.9""N 73°59'55.4""E","15°23'15.6""N 73°59'49.9""E","15°23'17.3""N 73°59'53.2""E","15.3908714, 73.9876319","15.3888627, 73.9840297","15.3819016, 73.9801912","15.3802885, 73.9820841","15.3744813, 73.9820526","15°22'38.8""N 73°58'40.8""E","15.3746962, 73.9757444","15°22'17.1""N 73°58'31.0""E","15°22'17.2""N 73°58'31.2""E","15°24'56.7""N 73°57'57.8""E","15.4190119, 73.9704983","15°25'12.7""N 73°57'48.2""E","15°24'20.2""N 73°58'06.4""E","15°24'12.8""N 73°58'30.6""E","15°24'15.1""N 73°58'37.5""E","15°24'17.1""N 73°58'39.3""E","15°24'23.8""N 73°58'47.5""E","15°24'22.2""N 73°58'50.8""E","15°24'13.7""N 73°58'55.4""E","15°24'11.3""N 73°58'50.8""E","15°24'29.1""N 73°59'02.4""E","15°24'36.9""N 73°59'04.8""E","15°24'14.2""N 73°59'26.6""E","15.4058394, 73.9615589","15°24'41.2""N 73°57'36.5""E","15.4005258, 73.9708262","15.4050368, 73.9562746","15.3988905, 73.9541006","15.3959852, 73.9556419","15.3945869, 73.9579047","15.3899896, 73.9610456","15.3828290, 73.9631790","15.3780984, 73.9632148","15.3727747, 73.9671888","15.3943005, 73.9867398","15.39642° N, 73.98599° E","15.3981852, 73.9815624","15.3991524, 73.9819849","15°24'08.0""N 73°59'10.5""E","15°24'15.7""N 73°59'03.7""E"
CT ratio,400:5,400:5,400:5,400:5,400:5,400:5,400:5,,400:5,400:5,,,400:5,400:5,400:5,400:5,400:5,400:5,400:5,400:5,400:5,400:5,400:5,400:5,400:5,400:5,400:5,400:5,400:5,400:5,400:5,400:5,400:5,400:5,400:5,400:5,400:5,400:5,400:5,400:5,400:5,400:5,400:5,400:5,400:5,,400:5,400:5,400:5,400:5,400:5,400:5,400:5,,400:5,400:5,400:5,400:5
Multiplying Factor,80,80,80,80,80,80,80,,80,80,,,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,,80,80,80,80,80,80,80,,80,80,80,80
Meter Number,641,849,2141,1917,,,0427/05/17,,1991,2089,427/05/32,427/05/32,1953,1980,1975,2044,0427/05/21,0427/05/18,1982,,,427/05/34,,1994,1992,1985,1985,0427/05/09,0427/05/10,0427/05/01,0427/05/02,No energy meter,0427/05/08,0427/05/12,0427/05/04,2024,427/05/33,0427/05/13,0427/05/03,0427/05/05,1929,8,0427/05/11,21,1988,,27,1993,1989,1990,1987,1986,0427/05/24,427/01/66,0427/05/16,1978,2009,0427/05/06
Vector Group,Dyn-11,Dyn-11,Dyn-11,Dyn-11,Dyn-11,DY-11,Dyn-11,,Dyn-11,Dyn-11,,,Dyn-11,Dyn-11,Dyn-11,Dyn-11,Dyn-11,,Dyn11,Dyn11,Dy11,Dyn11,Dyn11,Dyn11,Dyn11,Dyn11,Dyn11,Dy n-11,Dyn-11,Dyn-11,Dyn-11,Dyn-11,Dyn-11,Dyn-11,Dyn-11,Dyn-11,,Dyn-11,Dyn-11,Dyn-11,Dyn-11,Dyn-11,Dy-11,Dyn11,Dyn11,,Dyn11,Dyn11,Dyn11,Dyn11,Dyn11,Dyn11,Dyn11,,Dyn11,Dyn11,Dyn11,Dyn11
HV Voltage[V],11000,11000,11000,11000,11000,11000,11000,,11000,11000,,,11000,11000,11000,11000,11000,11000,11000,11000,11000,11000,11000,11000,11000,11000,11000,11000,11000,11000,11000,11000,11000,11000,11000,11000,,11000,11000,11000,11000,11000,11000,11000,11000,,11000,11000,11000,11000,11000,11000,11000,,11000,11000,11000,11000
LV Voltage[V],433,433,433,433,433,433,433,,433,433,,,433,433,433,433,433,433,433,433,433,433,433,433,433,433,433,433,433,433,433,433,433,433,433,433,,433,433,433,433,433,433,433,433,,433,433,433,433,433,433,433,,433,433,433,433
