Element, I1_1, Ang1_1, I1_2, Ang1_2, I1_3, Ang1_3, I1_4, Ang1_4, Iresid1, AngResid1, I2_1, Ang2_1, I2_2, Ang2_2, I2_3, Ang2_3, I2_4, Ang2_4, Iresid2, AngResid2
Vsource.SOURCE,    440.773,   153.53,    440.773,    33.53,    440.773,   -86.47,          0,     0.00, 6.17429E-8,  -144.72,    440.773,   -26.47,    440.773,  -146.47,    440.773,    93.53,          0,     0.00, 6.17429E-8,    35.28
Line.M01,    86.0122,   -26.52,    86.0122,  -146.52,    86.0122,    93.48,          0,     0.00, 1.53503E-9,  -179.63,    86.0186,   153.48,    86.0186,    33.48,    86.0186,   -86.52,          0,     0.00, 1.52728E-9,     0.24
Line.M02,    36.5777,   -26.33,    36.5777,  -146.33,    36.5777,    93.67,          0,     0.00, 2.95699E-10,   -79.81,    36.5813,   153.66,    36.5813,    33.66,    36.5813,   -86.34,          0,     0.00, 2.89038E-10,    98.87
Line.LU1,    37.3403,   -26.49,    37.3403,  -146.49,    37.3403,    93.51,          0,     0.00, 8.39893E-11,     4.97,    37.3421,   153.51,    37.3421,    33.51,    37.3421,   -86.49,          0,     0.00, 9.66635E-11,  -160.20
Line.LU2,    34.4528,   -26.49,    34.4528,  -146.49,    34.4528,    93.51,          0,     0.00, 8.68794E-11,    -6.01,    34.4557,   153.50,    34.4557,    33.50,    34.4557,   -86.50,          0,     0.00, 6.63386E-11,   173.70
Line.LU3,    34.1378,   -26.52,    34.1378,  -146.52,    34.1378,    93.48,          0,     0.00, 6.58866E-11,     6.34,     34.139,   153.47,     34.139,    33.47,     34.139,   -86.53,          0,     0.00, 7.14749E-11,  -165.26
Line.LU4,    33.8646,   -26.54,    33.8646,  -146.54,    33.8646,    93.46,          0,     0.00, 9.26078E-11,    45.00,    33.8658,   153.46,    33.8658,    33.46,    33.8658,   -86.54,          0,     0.00, 6.91754E-11,  -151.75
Line.LU5,     30.973,   -26.54,     30.973,  -146.54,     30.973,    93.46,          0,     0.00, 9.40833E-11,    60.46,    30.9753,   153.45,    30.9753,    33.45,    30.9753,   -86.55,          0,     0.00, 8.4793E-11,  -125.39
Line.LU6,    27.8389,   -26.55,    27.8389,  -146.55,    27.8389,    93.45,          0,     0.00, 9.14981E-11,    52.67,    27.8423,   153.43,    27.8423,    33.43,    27.8423,   -86.57,          0,     0.00, 8.86757E-11,  -126.87
Line.LU7,    25.1883,   -26.58,    25.1883,  -146.58,    25.1883,    93.42,          0,     0.00, 7.83235E-11,    64.92,    25.1911,   153.41,    25.1911,    33.41,    25.1911,   -86.59,          0,     0.00, 8.8296E-11,  -114.98
Line.LU8,    22.7776,   -26.61,    22.7776,  -146.61,    22.7776,    93.39,          0,     0.00, 8.43872E-11,    59.57,    22.7805,   153.37,    22.7805,    33.37,    22.7805,   -86.63,          0,     0.00, 7.82007E-11,  -123.14
Line.LU9,    18.9092,   -26.60,    18.9092,  -146.60,    18.9092,    93.40,          0,     0.00, 7.93088E-11,    53.39,    18.9126,   153.38,    18.9126,    33.38,    18.9126,   -86.62,          0,     0.00, 7.93088E-11,  -126.61
Line.LU10,    15.0396,   -26.60,    15.0396,  -146.60,    15.0396,    93.40,          0,     0.00, 5.20625E-10,  -153.43,    15.0396,   153.40,    15.0396,    33.40,    15.0396,   -86.60,          0,     0.00, 8.47516E-10,   -15.95
Line.LU11,    14.6802,   -26.61,    14.6802,  -146.61,    14.6802,    93.39,          0,     0.00, 1.03336E-9,  -177.38,    14.6819,   153.37,    14.6819,    33.37,    14.6819,   -86.63,          0,     0.00, 1.02627E-9,     2.84
Line.LU12,     11.052,   -26.61,     11.052,  -146.61,     11.052,    93.39,          0,     0.00, 1.02956E-9,  -177.57,    11.0537,   153.37,    11.0537,    33.37,    11.0537,   -86.63,          0,     0.00, 1.02048E-9,     2.45
Line.LU13,    7.17946,   -26.56,    7.17946,  -146.56,    7.17946,    93.44,          0,     0.00, 8.14907E-10,   180.00,    7.17957,   153.43,    7.17957,    33.43,    7.17957,   -86.57,          0,     0.00, 8.76141E-10,    11.50
Line.LU14,    4.12777,   -26.32,    4.12777,  -146.32,    4.12777,    93.68,          0,     0.00, 1.95911E-11,   -21.80,    4.12855,   153.66,    4.12855,    33.66,    4.12855,   -86.34,          0,     0.00, 3.53184E-11,   168.11
Line.LU15,     2.6554,   -26.32,     2.6554,  -146.32,     2.6554,    93.68,          0,     0.00, 8.38513E-12,  -167.47,    2.65883,   153.53,    2.65883,    33.53,    2.65883,   -86.47,          0,     0.00, 2.03369E-12,   116.57
Line.LU16,    3.05189,   -26.90,    3.05189,  -146.90,    3.05189,    93.10,          0,     0.00, 1.19889E-9,  -176.69,    3.05352,   153.04,    3.05352,    33.04,    3.05352,   -86.96,          0,     0.00, 1.19869E-9,     3.13
Line.LU17,   0.637077,   -28.98,   0.637077,  -148.98,   0.637077,    91.02,          0,     0.00, 1.21103E-9,  -177.25,    0.64081,   150.42,    0.64081,    30.42,    0.64081,   -89.58,          0,     0.00, 1.20313E-9,     3.03
Line.LU18,    3.23458,   153.82,    3.23458,    33.82,    3.23458,   -86.18,          0,     0.00, 1.19013E-9,  -177.20,    3.23285,   -26.12,    3.23285,  -146.12,    3.23285,    93.88,          0,     0.00, 1.20951E-9,     2.07
Line.LU19,    6.14131,   153.55,    6.14131,    33.55,    6.14131,   -86.45,          0,     0.00, 1.22859E-9,  -177.96,    6.14045,   -26.43,    6.14045,  -146.43,    6.14045,    93.57,          0,     0.00, 1.19891E-9,     1.04
Line.LU20,    14.3792,   153.64,    14.3792,    33.64,    14.3792,   -86.36,          0,     0.00, 1.43182E-9,  -177.67,    14.3775,   -26.35,    14.3775,  -146.35,    14.3775,    93.65,          0,     0.00, 1.44778E-9,     1.87
Line.LU21,    15.7447,   153.64,    15.7447,    33.64,    15.7447,   -86.36,          0,     0.00, 1.46437E-9,  -175.44,    15.7435,   -26.35,    15.7435,  -146.35,    15.7435,    93.65,          0,     0.00, 1.47236E-9,     3.97
Line.LU22,    16.8818,   153.69,    16.8818,    33.69,    16.8818,   -86.31,          0,     0.00, 1.18756E-9,  -162.90,    16.8817,   -26.31,    16.8817,  -146.31,    16.8817,    93.69,          0,     0.00,  1.5403E-9,    22.20
Line.LU23,    43.9325,   153.34,    43.9325,    33.34,    43.9325,   -86.66,          0,     0.00, 5.26418E-10,   -53.29,    43.9307,   -26.65,    43.9307,  -146.65,    43.9307,    93.35,          0,     0.00, 5.15631E-10,   124.36
Line.LU24,    46.8292,   153.36,    46.8292,    33.36,    46.8292,   -86.64,          0,     0.00, 1.28189E-9,     2.60,    46.8291,   -26.64,    46.8291,  -146.64,    46.8291,    93.36,          0,     0.00, 9.96355E-10,   173.29
Line.LU25,    46.8418,   153.37,    46.8418,    33.37,    46.8418,   -86.63,          0,     0.00, 1.08763E-9,     4.60,    46.8415,   -26.63,    46.8415,  -146.63,    46.8415,    93.37,          0,     0.00, 1.24725E-9,  -175.99
Line.LU26,    48.2743,   153.39,    48.2743,    33.39,    48.2743,   -86.61,          0,     0.00, 1.24791E-9,     0.67,    48.2739,   -26.61,    48.2739,  -146.61,    48.2739,    93.39,          0,     0.00, 1.22964E-9,   180.00
Line.LU27,    48.2866,   153.40,    48.2866,    33.40,    48.2866,   -86.60,          0,     0.00,  1.3464E-9,     2.48,    48.2854,   -26.60,    48.2854,  -146.60,    48.2854,    93.40,          0,     0.00, 1.35912E-9,  -177.55
