Element,  Total(W), Total(var),  I2R(W), I2X(var), No-load(W), No-load(var)
Line.M01, 5107.289, 3071.296, 5107.289, 3071.296, 0, 0
Line.M02, 521.8441, 187.4935, 521.8441, 187.4935, 0, 0
Line.LU1, 262.1127, 97.81689, 262.1127, 97.81689, 0, 0
Line.LU2, 374.0783, 121.3581, 374.0783, 121.3581, 0, 0
Line.LU3, 145.9002, 46.48368, 145.9002, 46.48368, 0, 0
Line.LU4, 144.916, 45.40782, 144.916, 45.40782, 0, 0
Line.LU5, 240.5881, 59.4172, 240.5881, 59.4172, 0, 0
Line.LU6, 291.7085, 43.93603, 291.7085, 43.93603, 0, 0
Line.LU7, 198.9605, 7.892061, 198.9605, 7.892061, 0, 0
Line.LU8, 164.5233, -15.90304, 164.5233, -15.90304, 0, 0
Line.LU9, 131.2441, -57.02089, 131.2441, -57.02089, 0, 0
Line.LU10, 0.8821393, -0.9408379, 0.8821393, -0.9408379, 0, 0
Line.LU11, 40.51604, -46.6468, 40.51604, -46.6468, 0, 0
Line.LU12, 22.39289, -56.66736, 22.39289, -56.66736, 0, 0
Line.LU13, 0.6030803, -4.157335, 0.6030803, -4.157335, 0, 0
Line.LU14, 1.462177, -32.42416, 1.462177, -32.42416, 0, 0
Line.LU15, 2.662635, -144.9706, 2.662635, -144.9706, 0, 0
Line.LU16, 1.635486, -67.20858, 1.635486, -67.20858, 0, 0
Line.LU17, 0.1520482, -144.797, 0.1520482, -144.797, 0, 0
Line.LU18, 1.998313, -73.03847, 1.998313, -73.03847, 0, 0
Line.LU19, 3.5444, -34.24892, 3.5444, -34.24892, 0, 0
Line.LU20, 38.45908, -47.21849, 38.45908, -47.21849, 0, 0
Line.LU21, 32.96497, -30.1898, 32.96497, -30.1898, 0, 0
Line.LU22, 1.667215, -1.186163, 1.667215, -1.186163, 0, 0
Line.LU23, 383.8741, 173.8101, 383.8741, 173.8101, 0, 0
Line.LU24, 17.10516, 8.157139, 17.10516, 8.157139, 0, 0
Line.LU25, 72.73586, 34.69175, 72.73586, 34.69175, 0, 0
Line.LU26, 109.0623, 53.14629, 109.0623, 53.14629, 0, 0
Line.LU27, 322.8015, 157.2981, 322.8015, 157.2981, 0, 0
Line.LU28, 296.4168, 144.3985, 296.4168, 144.3985, 0, 0
Line.LU29, 626.9952, 306.9248, 626.9952, 306.9248, 0, 0
Line.LU30, 1182.414, 578.4295, 1182.414, 578.4295, 0, 0
Line.LU31, 168.1946, 82.24293, 168.1946, 82.24293, 0, 0
Line.LU32, 3.424693, 0.4198237, 3.424693, 0.4198237, 0, 0
Line.LU33, 27.40538, -4.681672, 27.40538, -4.681672, 0, 0
Line.LU34, 60.97546, -34.60773, 60.97546, -34.60773, 0, 0
Line.LU35, 12.88926, -21.90973, 12.88926, -21.90973, 0, 0
Line.LU36, 10.44309, -17.74224, 10.44309, -17.74224, 0, 0
Line.LU37, 7.625905, -23.5283, 7.625905, -23.5283, 0, 0
Line.LU38, 4.222741, -13.77023, 4.222741, -13.77023, 0, 0
Line.LU39, 5.902058, -21.0124, 5.902058, -21.0124, 0, 0
Line.LU40, 6.820665, -24.35241, 6.820665, -24.35241, 0, 0
Line.LU41, 0.1868625, -22.62702, 0.1868625, -22.62702, 0, 0
Line.LU42, 0.3265913, -102.4628, 0.3265913, -102.4628, 0, 0
Line.LU43, 4.90388, -73.53808, 4.90388, -73.53808, 0, 0
Line.LU44, 8.829516, -132.5729, 8.829516, -132.5729, 0, 0
Line.LU45, 6.823109, -102.0498, 6.823109, -102.0498, 0, 0
Line.LU46, 13.18578, -66.92962, 13.18578, -66.92962, 0, 0
Line.LU47, 1.412463, -18.34275, 1.412463, -18.34275, 0, 0
Line.LU48, 3.571139, -46.35884, 3.571139, -46.35884, 0, 0
Line.LU49, 0.3636858, -16.29669, 0.3636858, -16.29669, 0, 0
Line.LU50, 1.073256, -48.90019, 1.073256, -48.90019, 0, 0
Line.LU51, 0.0000501893, -24.27099, 0.0000501893, -24.27099, 0, 0
Line.LU52, 4.78643E-6, -8.191468, 4.78643E-6, -8.191468, 0, 0
