Element, I1_1, Ang1_1, I1_2, Ang1_2, I1_3, Ang1_3, I1_4, Ang1_4, Iresid1, AngResid1, I2_1, Ang2_1, I2_2, Ang2_2, I2_3, Ang2_3, I2_4, Ang2_4, Iresid2, AngResid2
Vsource.SOURCE,    122.275,   153.76,    122.275,    33.76,    122.275,   -86.24,          0,     0.00, 1.72892E-9,    53.90,    122.275,   -26.24,    122.275,  -146.24,    122.275,    93.76,          0,     0.00, 1.72892E-9,  -126.10
Vsource.COLONYSS,    201.053,   148.09,    201.053,    28.09,    201.053,   -91.91,          0,     0.00, 4.17265E-8,  -144.83,    201.053,   -31.91,    201.053,  -151.91,    201.053,    88.09,          0,     0.00, 4.17265E-8,    35.17
Vsource.CONTROLROOMSS,    124.918,   161.24,    124.918,    41.24,    124.918,   -78.76,          0,     0.00, 2.11423E-8,  -142.45,    124.918,   -18.76,    124.918,  -138.76,    124.918,   101.24,          0,     0.00, 2.11423E-8,    37.55
Line.M01,    85.7707,   -26.26,    85.7707,  -146.26,    85.7707,    93.74,          0,     0.00, 1.54385E-9,  -131.26,    85.7771,   153.73,    85.7771,    33.73,    85.7771,   -86.27,          0,     0.00, 1.54067E-9,    48.67
Line.M02,    36.5047,   -26.20,    36.5047,  -146.20,    36.5047,    93.80,          0,     0.00, 2.97631E-10,   -81.92,    36.5083,   153.79,    36.5083,    33.79,    36.5083,   -86.21,          0,     0.00, 2.98234E-10,    98.86
Line.LU1,    37.2493,   -26.28,    37.2493,  -146.28,    37.2493,    93.72,          0,     0.00, 5.31557E-10,   -92.26,     37.251,   153.72,     37.251,    33.72,     37.251,   -86.28,          0,     0.00, 5.25068E-10,    86.13
Line.LU2,    34.3676,   -26.28,    34.3676,  -146.28,    34.3676,    93.72,          0,     0.00, 5.38803E-10,   -95.18,    34.3705,   153.71,    34.3705,    33.71,    34.3705,   -86.29,          0,     0.00, 5.33127E-10,    85.06
Line.LU3,    34.0532,   -26.31,    34.0532,  -146.31,    34.0532,    93.69,          0,     0.00, 5.34981E-10,   -88.44,    34.0543,   153.69,    34.0543,    33.69,    34.0543,   -86.31,          0,     0.00, 5.3486E-10,    90.97
Line.LU4,    33.7804,   -26.32,    33.7804,  -146.32,    33.7804,    93.68,          0,     0.00, 5.0755E-10,   -98.45,    33.7816,   153.68,    33.7816,    33.68,    33.7816,   -86.32,          0,     0.00, 5.17837E-10,    82.13
Line.LU5,    30.8947,   -26.32,    30.8947,  -146.32,    30.8947,    93.68,          0,     0.00, 5.31746E-10,   -98.66,     30.897,   153.67,     30.897,    33.67,     30.897,   -86.33,          0,     0.00, 5.22481E-10,    81.39
Line.LU6,    27.7669,   -26.32,    27.7669,  -146.32,    27.7669,    93.68,          0,     0.00, 5.34908E-10,   -99.54,    27.7704,   153.67,    27.7704,    33.67,    27.7704,   -86.33,          0,     0.00, 5.41694E-10,    79.70
Line.LU7,    25.1216,   -26.33,    25.1216,  -146.33,    25.1216,    93.67,          0,     0.00, 5.32876E-10,  -101.57,    25.1245,   153.65,    25.1245,    33.65,    25.1245,   -86.35,          0,     0.00, 5.62122E-10,    78.66
Line.LU8,    22.7159,   -26.35,    22.7159,  -146.35,    22.7159,    93.65,          0,     0.00, 5.46119E-10,  -102.60,    22.7188,   153.63,    22.7188,    33.63,    22.7188,   -86.37,          0,     0.00, 5.51055E-10,    77.71
Line.LU9,    18.8554,   -26.32,    18.8554,  -146.32,    18.8554,    93.68,          0,     0.00, 5.51502E-10,  -103.35,    18.8588,   153.66,    18.8588,    33.66,    18.8588,   -86.34,          0,     0.00, 5.55447E-10,    78.29
Line.LU10,    14.9937,   -26.28,    14.9937,  -146.28,    14.9937,    93.72,          0,     0.00, 1.56729E-9,   -74.93,    14.9938,   153.72,    14.9938,    33.72,    14.9938,   -86.28,          0,     0.00, 7.00913E-10,    94.76
Line.LU11,     14.635,   -26.29,     14.635,  -146.29,     14.635,    93.71,          0,     0.00, 8.41951E-10,   142.15,    14.6367,   153.70,    14.6367,    33.70,    14.6367,   -86.30,          0,     0.00, 8.14912E-10,   -37.06
Line.LU12,    11.0143,   -26.22,    11.0143,  -146.22,    11.0143,    93.78,          0,     0.00, 8.36933E-10,   141.88,    11.0159,   153.76,    11.0159,    33.76,    11.0159,   -86.24,          0,     0.00, 8.40456E-10,   -36.06
Line.LU13,    7.14976,   -26.04,    7.14976,  -146.04,    7.14976,    93.96,          0,     0.00, 7.5684E-10,   142.03,    7.14987,   153.96,    7.14987,    33.96,    7.14987,   -86.04,          0,     0.00, 1.04541E-9,   -51.22
Line.LU14,    4.11942,   -26.18,    4.11942,  -146.18,    4.11942,    93.82,          0,     0.00, 3.09228E-11,   -28.07,     4.1202,   153.79,     4.1202,    33.79,     4.1202,   -86.21,          0,     0.00, 4.06738E-11,   116.57
Line.LU15,       2.65,   -26.18,       2.65,  -146.18,       2.65,    93.82,          0,     0.00, 1.23705E-11,   -36.03,    2.65344,   153.67,    2.65344,    33.67,    2.65344,   -86.33,          0,     0.00, 3.74994E-12,    75.96
Line.LU16,    3.03048,   -25.85,    3.03048,  -145.85,    3.03048,    94.15,          0,     0.00, 7.66311E-10,   144.27,    3.03205,   154.09,    3.03205,    34.09,    3.03205,   -85.91,          0,     0.00, 7.68949E-10,   -34.59
Line.LU17,   0.620267,   -24.42,   0.620267,  -144.42,   0.620267,    95.58,          0,     0.00, 7.66823E-10,   147.74,   0.623479,   154.93,   0.623479,    34.93,   0.623479,   -85.07,          0,     0.00, 7.62049E-10,   -33.46
Line.LU18,    3.24328,   153.10,    3.24328,    33.10,    3.24328,   -86.90,          0,     0.00, 7.68217E-10,   147.33,     3.2415,   -26.84,     3.2415,  -146.84,     3.2415,    93.16,          0,     0.00, 7.49451E-10,   -33.27
Line.LU19,    6.14412,   153.23,    6.14412,    33.23,    6.14412,   -86.77,          0,     0.00, 7.94013E-10,   152.73,    6.14324,   -26.75,    6.14324,  -146.75,    6.14324,    93.25,          0,     0.00, 7.28877E-10,   -26.69
Line.LU20,    14.3651,   153.58,    14.3651,    33.58,    14.3651,   -86.42,          0,     0.00, 1.01081E-9,   157.13,    14.3634,   -26.41,    14.3634,  -146.41,    14.3634,    93.59,          0,     0.00, 9.90383E-10,   -22.92
Line.LU21,    15.7279,   153.60,    15.7279,    33.60,    15.7279,   -86.40,          0,     0.00, 1.02072E-9,   160.21,    15.7267,   -26.39,    15.7267,  -146.39,    15.7267,    93.61,          0,     0.00, 1.02043E-9,   -21.76
Line.LU22,    16.8627,   153.66,    16.8627,    33.66,    16.8627,   -86.34,          0,     0.00, 8.23695E-10,   122.01,    16.8627,   -26.34,    16.8627,  -146.34,    16.8627,    93.66,          0,     0.00, 1.45519E-9,   -53.13
Line.LU23,    43.8001,   153.66,    43.8001,    33.66,    43.8001,   -86.34,          0,     0.00, 9.22292E-10,   -44.28,    43.7982,   -26.34,    43.7982,  -146.34,    43.7982,    93.66,          0,     0.00, 9.42156E-10,   135.04
Line.LU24,    46.6909,   153.66,    46.6909,    33.66,    46.6909,   -86.34,          0,     0.00, 1.13505E-9,    67.38,    46.6908,   -26.34,    46.6908,  -146.34,    46.6908,    93.66,          0,     0.00, 1.15868E-9,  -115.28
Line.LU25,    46.7035,   153.67,    46.7035,    33.67,    46.7035,   -86.33,          0,     0.00, 1.03611E-9,    37.15,    46.7032,   -26.33,    46.7032,  -146.33,    46.7032,    93.67,          0,     0.00, 1.13108E-9,  -146.41
Line.LU26,    48.1332,   153.69,    48.1332,    33.69,    48.1332,   -86.31,          0,     0.00, 1.00266E-9,    31.50,    48.1328,   -26.31,    48.1328,  -146.31,    48.1328,    93.69,          0,     0.00, 1.07714E-9,  -152.66
Line.LU27,    48.1456,   153.70,    48.1456,    33.70,    48.1456,   -86.30,          0,     0.00, 1.11425E-9,    35.53,    48.1443,   -26.30,    48.1443,  -146.30,    48.1443,    93.70,          0,     0.00, 1.08205E-9,  -143.96
Line.LU28,    48.1443,   153.70,    48.1443,    33.70,    48.1443,   -86.30,          0,     0.00, 1.18962E-9,    33.40,    48.1432,   -26.30,    48.1432,  -146.30,    48.1432,    93.70,          0,     0.00, 1.16995E-9,  -145.96
Line.LU29,    48.5187,   153.71,    48.5187,    33.71,    48.5187,   -86.29,          0,     0.00, 1.17076E-9,    30.95,    48.5163,   -26.28,    48.5163,  -146.28,    48.5163,    93.72,          0,     0.00, 1.16875E-9,  -148.78
Line.LU30,    48.5291,   153.73,    48.5291,    33.73,    48.5291,   -86.27,          0,     0.00, 1.18753E-9,    30.98,    48.5245,   -26.26,    48.5245,  -146.26,    48.5245,    93.74,          0,     0.00, 1.18551E-9,  -149.27
Line.LU31,    48.5284,   153.74,    48.5284,    33.74,    48.5284,   -86.26,          0,     0.00, 1.21101E-9,    31.11,    48.5278,   -26.26,    48.5278,  -146.26,    48.5278,    93.74,          0,     0.00, 1.18733E-9,  -149.43
Line.LU32,    26.9374,   -26.34,    26.9374,  -146.34,    26.9374,    93.66,          0,     0.00,  1.5134E-9,    67.38,    26.9374,   153.66,    26.9374,    33.66,    26.9374,   -86.34,          0,     0.00, 9.75738E-10,   -72.65
