Element,  Total(W), Total(var),  I2R(W), I2X(var), No-load(W), No-load(var)
Line.M01, 5078.649, 3051.467, 5078.649, 3051.467, 0, 0
Line.M02, 519.7634, 185.5217, 519.7634, 185.5217, 0, 0
Line.LU1, 260.8364, 96.68683, 260.8364, 96.68683, 0, 0
Line.LU2, 372.2302, 119.6545, 372.2302, 119.6545, 0, 0
Line.LU3, 145.1776, 45.81442, 145.1776, 45.81442, 0, 0
Line.LU4, 144.1967, 44.73884, 144.1967, 44.73884, 0, 0
Line.LU5, 239.3729, 58.22858, 239.3729, 58.22858, 0, 0
Line.LU6, 290.2022, 42.35986, 290.2022, 42.35986, 0, 0
Line.LU7, 197.9095, 6.712206, 197.9095, 6.712206, 0, 0
Line.LU8, 163.6322, -16.98382, 163.6322, -16.98382, 0, 0
Line.LU9, 130.4979, -58.08524, 130.4979, -58.08524, 0, 0
Line.LU10, 0.8767624, -0.9504692, 0.8767624, -0.9504692, 0, 0
Line.LU11, 40.26689, -47.10493, 40.26689, -47.10493, 0, 0
Line.LU12, 22.24018, -57.05505, 22.24018, -57.05505, 0, 0
Line.LU13, 0.5980992, -4.178964, 0.5980992, -4.178964, 0, 0
Line.LU14, 1.45627, -32.56272, 1.45627, -32.56272, 0, 0
Line.LU15, 2.651826, -145.5697, 2.651826, -145.5697, 0, 0
Line.LU16, 1.612593, -67.49909, 1.612593, -67.49909, 0, 0
Line.LU17, 0.1440316, -145.3871, 0.1440316, -145.3871, 0, 0
Line.LU18, 2.009053, -73.33156, 2.009053, -73.33156, 0, 0
Line.LU19, 3.547634, -34.39443, 3.547634, -34.39443, 0, 0
Line.LU20, 38.38398, -47.55986, 38.38398, -47.55986, 0, 0
Line.LU21, 32.89473, -30.4447, 32.89473, -30.4447, 0, 0
Line.LU22, 1.663443, -1.197827, 1.663443, -1.197827, 0, 0
Line.LU23, 381.5628, 171.9846, 381.5628, 171.9846, 0, 0
Line.LU24, 17.00426, 8.078836, 17.00426, 8.078836, 0, 0
Line.LU25, 72.30702, 34.35897, 72.30702, 34.35897, 0, 0
Line.LU26, 108.4257, 52.65609, 108.4257, 52.65609, 0, 0
Line.LU27, 320.9184, 155.848, 320.9184, 155.848, 0, 0
Line.LU28, 294.6877, 143.0671, 294.6877, 143.0671, 0, 0
Line.LU29, 623.3485, 304.1221, 623.3485, 304.1221, 0, 0
Line.LU30, 1175.541, 573.1476, 1175.541, 573.1476, 0, 0
Line.LU31, 167.1561, 81.4519, 167.1561, 81.4519, 0, 0
Line.LU32, 3.395924, 0.393632, 3.395924, 0.393632, 0, 0
Line.LU33, 27.2097, -4.901062, 27.2097, -4.901062, 0, 0
Line.LU34, 60.50013, -35.21981, 60.50013, -35.21981, 0, 0
Line.LU35, 12.79439, -22.09443, 12.79439, -22.09443, 0, 0
Line.LU36, 10.3662, -17.89189, 10.3662, -17.89189, 0, 0
Line.LU37, 7.563042, -23.68471, 7.563042, -23.68471, 0, 0
Line.LU38, 4.168348, -13.87267, 4.168348, -13.87267, 0, 0
Line.LU39, 5.810359, -21.17298, 5.810359, -21.17298, 0, 0
Line.LU40, 6.714434, -24.53847, 6.714434, -24.53847, 0, 0
Line.LU41, 0.1885525, -22.71791, 0.1885525, -22.71791, 0, 0
Line.LU42, 0.3180006, -102.8836, 0.3180006, -102.8836, 0, 0
Line.LU43, 4.859803, -73.87719, 4.859803, -73.87719, 0, 0
Line.LU44, 8.750211, -133.184, 8.750211, -133.184, 0, 0
Line.LU45, 6.76221, -102.52, 6.76221, -102.52, 0, 0
Line.LU46, 13.13252, -67.26955, 13.13252, -67.26955, 0, 0
Line.LU47, 1.406778, -18.42427, 1.406778, -18.42427, 0, 0
Line.LU48, 3.55677, -46.56488, 3.55677, -46.56488, 0, 0
Line.LU49, 0.3622295, -16.36442, 0.3622295, -16.36442, 0, 0
Line.LU50, 1.068889, -49.10336, 1.068889, -49.10336, 0, 0
Line.LU51, 0.00005051631, -24.369, 0.00005051631, -24.369, 0, 0
Line.LU52, 2.667383E-6, -8.224548, 2.667383E-6, -8.224548, 0, 0
Line.LU54, 17.61016, -128.6599, 17.61016, -128.6599, 0, 0
Line.LU55, 11.7094, -103.2806, 11.7094, -103.2806, 0, 0
Line.LU56, 3.564226, -123.115, 3.564226, -123.115, 0, 0
