Name, Imax, %normal, %emergency, kW, kvar, NumCustomers, TotalCustomers, NumPhases, kVBase
Line.S01,    256.771,    64.19,    42.80,    4341.76,    2237.18, 0, 23, 3, 6.35 
Line.L1,    181.068,    45.27,    30.18,    3056.35,    1575.25, 0, 0, 3, 6.35 
Line.L2,    172.302,    43.08,    28.72,    2905.22,    1497.21, 0, 1, 3, 6.35 
Line.L3,    167.339,    41.83,    27.89,    2818.69,    1452.04, 0, 2, 3, 6.35 
Line.L4,    147.143,    36.79,    24.52,    2475.12,    1274.33, 0, 2, 3, 6.35 
Line.L5,    143.314,    35.83,    23.89,    2408.43,    1240.04, 0, 3, 3, 6.35 
Line.L6,    20.7065,     5.18,     3.45,   -347.859,   -178.996, 0, 13, 3, 6.35 
Line.L7,    25.1082,     6.28,     4.18,   -421.873,    -217.01, 0, 14, 3, 6.35 
Line.L8,    28.3275,     7.08,     4.72,   -476.431,   -244.004, 0, 15, 3, 6.35 
Line.L9,    31.5901,     7.90,     5.27,   -531.788,   -271.933, 0, 16, 3, 6.35 
Line.L10,    14.6385,     3.66,     2.44,    244.829,      129.3, 0, 2, 3, 6.35 
Line.L11,    6.12491,     1.53,     1.02,    103.207,    52.5777, 0, 1, 3, 6.35 
Line.L12,    75.7039,    18.93,    12.62,    1278.46,    657.426, 0, 23, 3, 6.35 
Line.L13,    21.8961,     5.47,     3.65,    369.859,    189.948, 0, 1, 3, 6.35 
Line.L14,    53.8079,    13.45,     8.97,    908.554,    467.452, 0, 22, 3, 6.35 
Line.L15,    45.0484,    11.26,     7.51,    760.366,    391.337, 0, 21, 3, 6.35 
Line.L16,    38.9443,     9.74,     6.49,    656.468,    338.397, 0, 20, 3, 6.35 
Line.L17, 0.00134441,     0.00,     0.00, 2.52838E-10, -0.0254839, 0, 0, 3, 6.35 
Line.L18,    79.4974,    19.87,    13.25,    1334.22,    690.106, 0, 5, 3, 6.35 
Line.L19,    35.4589,     8.86,     5.91,    593.926,    309.591, 0, 4, 3, 6.35 
Line.L20,     31.055,     7.76,     5.18,    519.928,    271.563, 0, 3, 3, 6.35 
Line.L21,    7.04648,     1.76,     1.17,    118.381,    60.8052, 0, 1, 3, 6.35 
Line.L22, 0.00048415,     0.00,     0.00, 2.10071E-9, -0.00914366, 0, 0, 3, 6.35 
Line.L23,    29.4886,     7.37,     4.91,    496.394,    253.104, 0, 4, 3, 6.35 
Line.L24,    14.1545,     3.54,     2.36,    238.147,    121.444, 0, 3, 3, 6.35 
Line.L25,    7.10752,     1.78,     1.18,    119.757,    60.6217, 0, 2, 3, 6.35 
Line.L26,    4.39809,     1.10,     0.73,    73.9934,     37.714, 0, 1, 3, 6.35 
Line.L27, 0.00992274,     0.00,     0.00, 1.18161E-8,  -0.187357, 0, 0, 3, 6.35 
Line.L28,    147.142,    36.79,    24.52,    2478.42,    1276.43, 0, 2, 3, 6.35 
Line.L29,     20.197,     5.05,     3.37,    340.055,    175.472, 0, 0, 3, 6.35 
Line.L30,    20.2002,     5.05,     3.37,    339.919,    175.515, 0, 0, 3, 6.35 
Line.L31,    34.3286,     8.58,     5.72,     577.01,    296.322, 0, 12, 3, 6.35 
Line.L32,     46.226,    11.56,     7.70,     -776.8,   -401.281, 0, 18, 3, 6.35 
Line.L33,    51.5134,    12.88,     8.59,   -865.997,   -447.644, 0, 19, 3, 6.35 
Line.L34,    45.0516,    11.26,     7.51,     759.67,    391.016, 0, 21, 3, 6.35 
Line.L35,    38.9467,     9.74,     6.49,    656.175,    338.307, 0, 20, 3, 6.35 
Line.L36,    31.3071,     7.83,     5.22,     526.95,    272.446, 0, 19, 3, 6.35 
Transformer.T1,    8.76766,    75.93,    55.68,    147.934,    75.9908, 1, 1, 3, 6.35 
Transformer.T2,     4.9636,    85.97,    63.05,     83.522,    43.2367, 1, 1, 3, 6.35 
Transformer.T3, 0.0000104241,     0.00,     0.00, 1.36818E-12, 0.000197221, 0, 0, 3, 6.35 
Transformer.T4,    3.83063,    66.35,    48.66,    64.5021,    32.8964, 1, 1, 3, 6.35 
Transformer.T5,    55.0356,    76.26,    55.92,    924.804,    475.297, 1, 1, 3, 6.35 
Transformer.T6,    4.40238,    76.25,    55.92,    73.9839,    38.0219, 1, 1, 3, 6.35 
