Element,  Total(W), Total(var),  I2R(W), I2X(var), No-load(W), No-load(var)
Line.S01, 6942.609, 4503.069, 6942.609, 4503.069, 0, 0
Line.L1, 3196.625, 2054.084, 3196.625, 2054.084, 0, 0
Line.L2, 3010.363, 1930.703, 3010.363, 1930.703, 0, 0
Line.L3, 218.4182, 139.9123, 218.4182, 139.9123, 0, 0
Line.L4, 2195.446, 1397.446, 2195.446, 1397.446, 0, 0
Line.L5, 801.0173, 509.0984, 801.0173, 509.0984, 0, 0
Line.L6, 30.09795, -7.751558, 30.09795, -7.751558, 0, 0
Line.L7, 27.0447, 0.9236774, 27.0447, 0.9236774, 0, 0
Line.L8, 265.9819, 44.36529, 265.9819, 44.36529, 0, 0
Line.L9, 182.9114, 47.92369, 182.9114, 47.92369, 0, 0
Line.L10, 39.28327, -46.11149, 39.28327, -46.11149, 0, 0
Line.L11, 5.85367, -57.2834, 5.85367, -57.2834, 0, 0
Line.L12, 44.70252, 26.18165, 44.70252, 26.18165, 0, 0
Line.L13, 43.00746, -7.276077, 43.00746, -7.276077, 0, 0
Line.L14, 259.7116, 134.5882, 259.7116, 134.5882, 0, 0
Line.L15, 696.5254, 320.5965, 696.5254, 320.5965, 0, 0
Line.L16, 292.8042, 115.6473, 292.8042, 115.6473, 0, 0
Line.L17, 1.279937E-7, -25.48386, 1.279937E-7, -25.48386, 0, 0
Line.L18, 443.6565, 262.9759, 443.6565, 262.9759, 0, 0
Line.L19, 12.25901, 4.214072, 12.25901, 4.214072, 0, 0
Line.L20, 45.1352, 11.25612, 45.1352, 11.25612, 0, 0
Line.L21, 3.292274, -23.75263, 3.292274, -23.75263, 0, 0
Line.L22, 5.494707E-7, -9.143664, 5.494707E-7, -9.143664, 0, 0
Line.L23, 227.2394, 46.59874, 227.2394, 46.59874, 0, 0
Line.L24, 12.50243, -16.19792, 12.50243, -16.19792, 0, 0
Line.L25, 11.03604, -78.10025, 11.03604, -78.10025, 0, 0
Line.L26, 6.416814, -125.2855, 6.416814, -125.2855, 0, 0
Line.L27, 0.00001179069, -187.3567, 0.00001179069, -187.3567, 0, 0
Line.L28, 3293.115, 2095.994, 3293.115, 2095.994, 0, 0
Line.L29, 136.042, -42.02021, 136.042, -42.02021, 0, 0
Line.L30, 48.53993, -14.95608, 48.53993, -14.95608, 0, 0
Line.L31, 64.34438, 20.76704, 64.34438, 20.76704, 0, 0
Line.L32, 391.6682, 184.5147, 391.6682, 184.5147, 0, 0
Line.L33, 486.3942, 246.4428, 486.3942, 246.4428, 0, 0
Line.L34, 15.8313, 7.290105, 15.8313, 7.290105, 0, 0
Line.L35, 236.6371, 93.52281, 236.6371, 93.52281, 0, 0
Line.L36, 336.417, 85.3225, 336.417, 85.3225, 0, 0
Transformer.T1, 3934.53, 6250.791, 3934.53, 6250.791, 0, 0
Transformer.T2, 2522.022, 4006.711, 2522.022, 4006.711, 0, 0
Transformer.T3, 1.205209E-9, 0.1972207, 1.205209E-9, 0.1972207, 0, 0
Transformer.T4, 1502.087, 2386.389, 1502.087, 2386.389, 0, 0
Transformer.T5, 24804.63, 39407.12, 24804.63, 39407.12, 0, 0
Transformer.T6, 1983.949, 3151.9, 1983.949, 3151.9, 0, 0
Transformer.T7, 530.6936, 843.2816, 530.6936, 843.2816, 0, 0
Transformer.T8, 1091.752, 1734.51, 1091.752, 1734.51, 0, 0
Transformer.T9, 7424.729, 11795.41, 7424.729, 11795.41, 0, 0
Transformer.T10, 2863.743, 4549.587, 2863.743, 4549.587, 0, 0
Transformer.T11, 19853.69, 31541.56, 19853.69, 31541.56, 0, 0
Transformer.T12, 1985.439, 3154.267, 1985.439, 3154.267, 0, 0
Transformer.T13, 14751.99, 23436.16, 14751.99, 23436.16, 0, 0
Transformer.T14, 3177.488, 5048.075, 3177.488, 5048.075, 0, 0
Transformer.T15, 6019.329, 9563.002, 6019.329, 9563.002, 0, 0
Transformer.T16, 3177.807, 5048.582, 3177.807, 5048.582, 0, 0
Transformer.T17, 752.6174, 1195.743, 752.6174, 1195.743, 0, 0
Transformer.T18, 1986.975, 3156.707, 1986.975, 3156.707, 0, 0
Transformer.T19, 2988.481, 4747.849, 2988.481, 4747.849, 0, 0
Transformer.T20, 2386.502, 3791.476, 2386.502, 3791.476, 0, 0
Transformer.T21, 3928.004, 6240.424, 3928.004, 6240.424, 0, 0
Transformer.T22, 9816.433, 15595.38, 9816.433, 15595.38, 0, 0
Transformer.T23, 2401.282, 3814.955, 2401.282, 3814.955, 0, 0
