Bus, BasekV, Node1, Magnitude1, Angle1, pu1, Node2, Magnitude2, Angle2, pu2, Node3, Magnitude3, Angle3, pu3
"SUBSTATION", 11, 1,    6340.59,   -0.1,   0.99838, 2,    6340.59, -120.1,   0.99838, 3,    6340.59,  119.9,   0.99838
"3_WAY_GOA_DAIRY_1", 11, 1,    6329.88,   -0.1,    0.9967, 2,    6329.88, -120.1,    0.9967, 3,    6329.88,  119.9,    0.9967
"FORENSIC", 11, 1,    6322.88,   -0.1,    0.9956, 2,    6322.88, -120.1,    0.9956, 3,    6322.88,  119.9,    0.9956
"DADA_VAIDYA", 11, 1,    6315.96,   -0.1,   0.99451, 2,    6315.96, -120.1,   0.99451, 3,    6315.96,  119.9,   0.99451
"3_WAY_DADA_VAIDYA", 11, 1,    6315.44,   -0.1,   0.99442, 2,    6315.44, -120.1,   0.99442, 3,    6315.44,  119.9,   0.99442
"AGARWAL_GARDENS", 11, 1,    6306.57,   -0.1,   0.99303, 2,    6306.57, -120.1,   0.99303, 3,    6306.57,  119.9,   0.99303
"FIBERGLASS", 11, 1,    6300.66,   -0.1,    0.9921, 2,    6300.66, -120.1,    0.9921, 3,    6300.66,  119.9,    0.9921
"4_WAY_SAISERVICE", 11, 1,    6298.45,   -0.1,   0.99175, 2,    6298.45, -120.1,   0.99175, 3,    6298.45,  119.9,   0.99175
"AGARWAL_HTC", 11, 1,     6297.7,   -0.1,   0.99163, 2,     6297.7, -120.1,   0.99163, 3,     6297.7,  119.9,   0.99163
"YUMMY_ICECREAM", 11, 1,    6298.28,   -0.1,   0.99172, 2,    6298.28, -120.1,   0.99172, 3,    6298.28,  119.9,   0.99172
"SHIVLAL", 11, 1,    6298.71,   -0.1,   0.99179, 2,    6298.71, -120.1,   0.99179, 3,    6298.71,  119.9,   0.99179
"KELBAI", 11, 1,    6302.43,   -0.1,   0.99237, 2,    6302.43, -120.1,   0.99237, 3,    6302.43,  119.9,   0.99237
"3_WAY_DOCTOR", 11, 1,    6304.72,   -0.1,   0.99274, 2,    6304.72, -120.1,   0.99274, 3,    6304.72,  119.9,   0.99274
"SURYA_MASALA", 11, 1,    6303.65,   -0.1,   0.99257, 2,    6303.65, -120.1,   0.99257, 3,    6303.65,  119.9,   0.99257
"PISGAL", 11, 1,    6303.28,   -0.1,   0.99251, 2,    6303.28, -120.1,   0.99251, 3,    6303.28,  119.9,   0.99251
"3_WAY_GOADAIRY2", 11, 1,    6329.64,   -0.1,   0.99666, 2,    6329.64, -120.1,   0.99666, 3,    6329.64,  119.9,   0.99666
"DAIRY_HTC", 11, 1,    6328.86,   -0.1,   0.99654, 2,    6328.86, -120.1,   0.99654, 3,    6328.86,  119.9,   0.99654
"DAIRY_OLD", 11, 1,    6327.73,   -0.1,   0.99636, 2,    6327.73, -120.1,   0.99636, 3,    6327.73,  119.9,   0.99636
"3_WAY_MICROWAVE", 11, 1,     6321.6,   -0.1,   0.99539, 2,     6321.6, -120.1,   0.99539, 3,     6321.6,  119.9,   0.99539
"MICROWAVE", 11, 1,    6321.46,   -0.1,   0.99537, 2,    6321.46, -120.1,   0.99537, 3,    6321.46,  119.9,   0.99537
"3_WAY_VEREKAR", 11, 1,    6318.48,   -0.1,    0.9949, 2,    6318.48, -120.1,    0.9949, 3,    6318.48,  119.9,    0.9949
"3_WAY_SAHAKARI", 11, 1,    6318.48,   -0.1,    0.9949, 2,    6318.48, -120.1,    0.9949, 3,    6318.48,  119.9,    0.9949
"ECAP_HTC", 11, 1,    6296.23,   -0.1,    0.9914, 2,    6296.23, -120.1,    0.9914, 3,    6296.23,  119.9,    0.9914
"PRAKASH", 11, 1,     6296.1,   -0.1,   0.99138, 2,     6296.1, -120.1,   0.99138, 3,     6296.1,  119.9,   0.99138
"KAYJI_SKYLINE", 11, 1,    6295.52,   -0.1,   0.99129, 2,    6295.52, -120.1,   0.99129, 3,    6295.52,  119.9,   0.99129
"RUDRA_DEVELOPER", 11, 1,    6295.33,   -0.1,   0.99126, 2,    6295.33, -120.1,   0.99126, 3,    6295.33,  119.9,   0.99126
"3_WAY_KHADPABANDH", 11, 1,    6295.33,   -0.1,   0.99126, 2,    6295.33, -120.1,   0.99126, 3,    6295.33,  119.9,   0.99126
"ASSOCIATE", 11, 1,    6295.39,   -0.1,   0.99127, 2,    6295.39, -120.1,   0.99127, 3,    6295.39,  119.9,   0.99127
"KV_SCHOOL", 11, 1,    6295.04,   -0.1,   0.99121, 2,    6295.04, -120.1,   0.99121, 3,    6295.04,  119.9,   0.99121
"KORDE", 11, 1,    6294.43,   -0.1,   0.99112, 2,    6294.43, -120.1,   0.99112, 3,    6294.43,  119.9,   0.99112
"KAPAT_FACTORY", 11, 1,    6293.85,   -0.1,   0.99102, 2,    6293.85, -120.1,   0.99102, 3,    6293.85,  119.9,   0.99102
"2_WAY_CONEMI", 11, 1,    6293.85,   -0.1,   0.99102, 2,    6293.85, -120.1,   0.99102, 3,    6293.85,  119.9,   0.99102
"3_WAY_COPPERWADA_2", 11, 1,    6312.77,   -0.1,     0.994, 2,    6312.77, -120.1,     0.994, 3,    6312.77,  119.9,     0.994
"3_WAY_COPPERWADA_1", 11, 1,    6311.82,   -0.1,   0.99385, 2,    6311.82, -120.1,   0.99385, 3,    6311.82,  119.9,   0.99385
