Bus, BasekV, Node1, Magnitude1, Angle1, pu1, Node2, Magnitude2, Angle2, pu2, Node3, Magnitude3, Angle3, pu3
"COLONY_SS", 11, 1,    6301.29,   -0.5,    0.9922, 2,    6301.29, -120.5,    0.9922, 3,    6301.29,  119.5,    0.9922
"3_WAY_GOA_DAIRY_1", 11, 1,       6291,   -0.5,   0.99057, 2,       6291, -120.5,   0.99057, 3,       6291,  119.5,   0.99057
"FORENSIC", 11, 1,    6283.11,   -0.6,   0.98933, 2,    6283.11, -120.6,   0.98933, 3,    6283.11,  119.4,   0.98933
"DADA_VAIDYA", 11, 1,    6275.25,   -0.6,    0.9881, 2,    6275.25, -120.6,    0.9881, 3,    6275.25,  119.4,    0.9881
"3_WAY_DADA_VAIDYA", 11, 1,    6274.66,   -0.6,     0.988, 2,    6274.66, -120.6,     0.988, 3,    6274.66,  119.4,     0.988
"KAYJI_GARDEN", 11, 1,    6264.27,   -0.6,   0.98637, 2,    6264.27, -120.6,   0.98637, 3,    6264.27,  119.4,   0.98637
"FIBERGLASS", 11, 1,     6257.6,   -0.6,   0.98532, 2,     6257.6, -120.6,   0.98532, 3,     6257.6,  119.4,   0.98532
"4_WAY_SAISERVICE", 11, 1,    6255.09,   -0.6,   0.98492, 2,    6255.09, -120.6,   0.98492, 3,    6255.09,  119.4,   0.98492
"AGARWAL_HTC", 11, 1,    6253.71,   -0.6,    0.9847, 2,    6253.71, -120.6,    0.9847, 3,    6253.71,  119.4,    0.9847
"YUMMY_ICECREAM", 11, 1,    6252.37,   -0.6,   0.98449, 2,    6252.37, -120.6,   0.98449, 3,    6252.37,  119.4,   0.98449
"SHIVLAL", 11, 1,    6251.94,   -0.6,   0.98443, 2,    6251.94, -120.6,   0.98443, 3,    6251.94,  119.4,   0.98443
"KELBAI", 11, 1,    6250.92,   -0.6,   0.98426, 2,    6250.92, -120.6,   0.98426, 3,    6250.92,  119.4,   0.98426
"3_WAY_DOCTOR", 11, 1,    6251.61,   -0.5,   0.98437, 2,    6251.61, -120.5,   0.98437, 3,    6251.61,  119.5,   0.98437
"SURYA_MASALA", 11, 1,    6250.39,   -0.5,   0.98418, 2,    6250.39, -120.5,   0.98418, 3,    6250.39,  119.5,   0.98418
"PISGAL", 11, 1,    6248.38,   -0.5,   0.98386, 2,    6248.38, -120.5,   0.98386, 3,    6248.38,  119.5,   0.98386
"3_WAY_GOADAIRY2", 11, 1,     6290.7,   -0.5,   0.99053, 2,     6290.7, -120.5,   0.99053, 3,     6290.7,  119.5,   0.99053
"DAIRY_HTC", 11, 1,    6286.59,   -0.5,   0.98988, 2,    6286.59, -120.5,   0.98988, 3,    6286.59,  119.5,   0.98988
"DAIRY_OLD", 11, 1,    6286.09,   -0.5,    0.9898, 2,    6286.09, -120.5,    0.9898, 3,    6286.09,  119.5,    0.9898
"3_WAY_MICROWAVE", 11, 1,    6274.73,   -0.5,   0.98801, 2,    6274.73, -120.5,   0.98801, 3,    6274.73,  119.5,   0.98801
"MICROWAVE", 11, 1,    6274.63,   -0.5,     0.988, 2,    6274.63, -120.5,     0.988, 3,    6274.63,  119.5,     0.988
