Bus, BasekV, Node1, Magnitude1, Angle1, pu1, Node2, Magnitude2, Angle2, pu2, Node3, Magnitude3, Angle3, pu3
"SUBSTATION", 11, 1,    6343.51,   -0.1,   0.99884, 2,    6343.51, -120.1,   0.99884, 3,    6343.51,  119.9,   0.99884
"HAVELI_PANCHAYAT", 11, 1,    6321.99,   -0.1,   0.99546, 2,    6321.99, -120.1,   0.99546, 3,    6321.99,  119.9,   0.99546
"MILITARY_HTC", 11, 1,     6305.6,   -0.1,   0.99287, 2,     6305.6, -120.1,   0.99287, 3,     6305.6,  119.9,   0.99287
"4W_MILITARY_GATE", 11, 1,    6273.37,   -0.1,    0.9878, 2,    6273.37, -120.1,    0.9878, 3,    6273.37,  119.9,    0.9878
"3W_SPORTS_COMPLEX", 11, 1,    6273.37,   -0.1,    0.9878, 2,    6273.37, -120.1,    0.9878, 3,    6273.37,  119.9,    0.9878
"3_WAY_MARUTI_TEMPLE", 11, 1,    6273.37,   -0.1,    0.9878, 2,    6273.37, -120.1,    0.9878, 3,    6273.37,  119.9,    0.9878
"MILITARY_GATE", 11, 1,    6272.82,   -0.1,   0.98771, 2,    6272.82, -120.1,   0.98771, 3,    6272.82,  119.9,   0.98771
"3_WAY_SAFA_MASJID", 11, 1,     6261.9,   -0.2,   0.98599, 2,     6261.9, -120.2,   0.98599, 3,     6261.9,  119.8,   0.98599
"RTO_OFFICE_NEW", 11, 1,    6261.63,   -0.2,   0.98595, 2,    6261.63, -120.2,   0.98595, 3,    6261.63,  119.8,   0.98595
"CHIRPUTEM_SCHOOL", 11, 1,     6261.3,   -0.2,    0.9859, 2,     6261.3, -120.2,    0.9859, 3,     6261.3,  119.8,    0.9859
"2W_KAPAT", 11, 1,     6261.3,   -0.2,    0.9859, 2,     6261.3, -120.2,    0.9859, 3,     6261.3,  119.8,    0.9859
"SHAPUR", 11, 1,     6256.7,   -0.2,   0.98517, 2,     6256.7, -120.2,   0.98517, 3,     6256.7,  119.8,   0.98517
"3_WAY_AMBEGAL", 11, 1,    6251.59,   -0.2,   0.98437, 2,    6251.59, -120.2,   0.98437, 3,    6251.59,  119.8,   0.98437
"4_WAY_AMBEGAL", 11, 1,    6248.15,   -0.2,   0.98383, 2,    6248.15, -120.2,   0.98383, 3,    6248.15,  119.8,   0.98383
"AMBEGAL", 11, 1,     6247.7,   -0.2,   0.98376, 2,     6247.7, -120.2,   0.98376, 3,     6247.7,  119.8,   0.98376
"PATTANTALI", 11, 1,    6247.28,   -0.2,   0.98369, 2,    6247.28, -120.2,   0.98369, 3,    6247.28,  119.8,   0.98369
"PANKAJ_BUILDERS", 11, 1,    6240.59,   -0.2,   0.98264, 2,    6240.59, -120.2,   0.98264, 3,    6240.59,  119.8,   0.98264
"KASHIMATH", 11, 1,    6229.39,   -0.2,   0.98087, 2,    6229.39, -120.2,   0.98087, 3,    6229.39,  119.8,   0.98087
"3_WAY_KASHIMATH", 11, 1,    6228.12,   -0.2,   0.98067, 2,    6228.12, -120.2,   0.98067, 3,    6228.12,  119.8,   0.98067
"2_WAY_NAGESHI", 11, 1,    6228.12,   -0.2,   0.98067, 2,    6228.12, -120.2,   0.98067, 3,    6228.12,  119.8,   0.98067
"GVMS", 11, 1,    6215.37,   -0.2,   0.97867, 2,    6215.37, -120.2,   0.97867, 3,    6215.37,  119.8,   0.97867
"SAHAKARI", 11, 1,    6209.93,   -0.2,   0.97781, 2,    6209.93, -120.2,   0.97781, 3,    6209.93,  119.8,   0.97781
"IMA", 11, 1,    6205.33,   -0.2,   0.97709, 2,    6205.33, -120.2,   0.97709, 3,    6205.33,  119.8,   0.97709
"SHIVNAGARI", 11, 1,    6197.88,   -0.2,   0.97591, 2,    6197.88, -120.2,   0.97591, 3,    6197.88,  119.8,   0.97591
"4_WAY_PES", 11, 1,    6194.02,   -0.2,    0.9753, 2,    6194.02, -120.2,    0.9753, 3,    6194.02,  119.8,    0.9753
"PES", 11, 1,    6193.45,   -0.2,   0.97522, 2,    6193.45, -120.2,   0.97522, 3,    6193.45,  119.8,   0.97522
"3_WAY_POLICE_OUTPOST", 11, 1,    6193.24,   -0.2,   0.97518, 2,    6193.24, -120.2,   0.97518, 3,    6193.24,  119.8,   0.97518
"CONEM_I_HIGHWAY", 11, 1,    6192.95,   -0.2,   0.97514, 2,    6192.95, -120.2,   0.97514, 3,    6192.95,  119.8,   0.97514
"2_WAY_CONEM_HIGHWAY", 11, 1,    6192.78,   -0.2,   0.97511, 2,    6192.78, -120.2,   0.97511, 3,    6192.78,  119.8,   0.97511
"CONEM_II", 11, 1,    6192.71,   -0.2,    0.9751, 2,    6192.71, -120.2,    0.9751, 3,    6192.71,  119.8,    0.9751
"GANESH_TEMPLE", 11, 1,     6193.8,   -0.2,   0.97527, 2,     6193.8, -120.2,   0.97527, 3,     6193.8,  119.8,   0.97527
