Element,  Total(W), Total(var),  I2R(W), I2X(var), No-load(W), No-load(var)
Line.FF01, 10020.48, 6443.132, 10020.48, 6443.132, 0, 0
Line.FF02, 7317.605, 4698.243, 7317.605, 4698.243, 0, 0
Line.FF03, 14391.82, 9241.615, 14391.82, 9241.615, 0, 0
Line.FF04, 7.688383E-7, -75.36366, 7.688383E-7, -75.36366, 0, 0
Line.FF05, 4.777592E-8, -36.01717, 4.777592E-8, -36.01717, 0, 0
Line.FF06, 243.9426, 156.6622, 243.9426, 156.6622, 0, 0
Line.FF07, 4692.801, 3009.297, 4692.801, 3009.297, 0, 0
Line.FF08, 6.832609, -22.66651, 6.832609, -22.66651, 0, 0
Line.FF09, 2.779042, -97.68166, 2.779042, -97.68166, 0, 0
Line.FF10, 0.00001574174, -204.8704, 0.00001574174, -204.8704, 0, 0
Line.FF11, 2107.513, 1347.973, 2107.513, 1347.973, 0, 0
Line.FF12, 1984.154, 1266.52, 1984.154, 1266.52, 0, 0
Line.FF13, 1287.69, 820.4113, 1287.69, 820.4113, 0, 0
Line.FF14, 171.6927, 109.3905, 171.6927, 109.3905, 0, 0
Line.FF15, 142.4953, 90.2779, 142.4953, 90.2779, 0, 0
Line.FF16, 2153.229, 1358.566, 2153.229, 1358.566, 0, 0
Line.FF17, 3416.22, 2146.618, 3416.22, 2146.618, 0, 0
Line.FF18, 377.03, 236.3665, 377.03, 236.3665, 0, 0
Line.FF19, -6.098968E-7, -10.44102, -6.098968E-7, -10.44102, 0, 0
Line.FF20, 3781.178, 2370.723, 3781.178, 2370.723, 0, 0
Line.FF21, 1562.403, 976.7634, 1562.403, 976.7634, 0, 0
Line.FF22, 1282.769, 799.7125, 1282.769, 799.7125, 0, 0
Line.FF23, 1972.821, 1223.41, 1972.821, 1223.41, 0, 0
Line.FF24, 937.5376, 575.3452, 937.5376, 575.3452, 0, 0
Line.FF25, 15.86921, -38.29172, 15.86921, -38.29172, 0, 0
Line.FF26, 2.145924, -45.79417, 2.145924, -45.79417, 0, 0
Line.FF27, 1.564172, -136.1368, 1.564172, -136.1368, 0, 0
Line.FF28, 2.451262, -213.7171, 2.451262, -213.7171, 0, 0
Line.FF29, 0.3704427, -32.20042, 0.3704427, -32.20042, 0, 0
Line.FF30, 4.724991, -20.51069, 4.724991, -20.51069, 0, 0
Line.FF31, 2.71697E-6, -112.5564, 2.71697E-6, -112.5564, 0, 0
Line.FF32, 90.94079, 53.63055, 90.94079, 53.63055, 0, 0
Line.FF33, 1979.177, 1151.298, 1979.177, 1151.298, 0, 0
Line.FF34, 34.55829, 18.21294, 34.55829, 18.21294, 0, 0
Line.FF35, 80.48806, 36.52332, 80.48806, 36.52332, 0, 0
Line.FF36, 164.2637, 67.86612, 164.2637, 67.86612, 0, 0
Line.FF37, 13.52611, 1.511517, 13.52611, 1.511517, 0, 0
Line.FF38, 11.85296, -17.93863, 11.85296, -17.93863, 0, 0
Line.FF39, 76.56328, -115.7433, 76.56328, -115.7433, 0, 0
Line.FF40, 11.83737, -37.73284, 11.83737, -37.73284, 0, 0
Line.FF41, 1.012373, -34.55097, 1.012373, -34.55097, 0, 0
Line.FF42, 0.8435443, -28.78814, 0.8435443, -28.78814, 0, 0
Line.FF43, 16.84322, -21.30897, 16.84322, -21.30897, 0, 0
