Name, Imax, %normal, %emergency, kW, kvar, NumCustomers, TotalCustomers, NumPhases, kVBase
Line.S01,    225.311,    56.33,    37.55,    3817.07,     1950.8, 0, 26, 3, 6.35 
Line.L1, 0.000437762,     0.00,     0.00, -5.9379E-10, -0.00830603, 0, 0, 3, 6.35 
Line.L2,    225.313,    56.33,    37.55,    3807.25,    1944.45, 0, 26, 3, 6.35 
Line.L3,    218.803,    54.70,    36.47,    3695.58,    1887.72, 0, 25, 3, 6.35 
Line.L4,     210.01,    52.50,    35.00,    3538.38,    1805.72, 0, 24, 3, 6.35 
Line.L5,    205.608,    51.40,    34.27,    3460.26,    1765.03, 0, 23, 3, 6.35 
Line.L6,    205.609,    51.40,    34.27,    3456.97,     1762.9, 0, 23, 3, 6.35 
Line.L7,     12.631,     3.16,     2.11,    211.921,    108.435, 0, 0, 3, 6.35 
Line.L8,    9.99143,     2.50,     1.67,    167.743,     85.538, 0, 1, 3, 6.35 
Line.L9,    6.18945,     1.55,     1.03,   -103.825,   -53.1612, 0, 2, 3, 6.35 
Line.L10,    97.0585,    24.26,    16.18,    1629.85,    830.454, 0, 0, 3, 6.35 
Line.L11,    97.0586,    24.26,    16.18,    1629.78,    830.409, 0, 0, 3, 6.35 
Line.L12,    89.7324,    22.43,    14.96,    1506.75,     767.93, 0, 21, 3, 6.35 
Line.L13,     52.284,    13.07,     8.71,    876.863,    447.296, 0, 0, 3, 6.35 
Line.L14,    46.1287,    11.53,     7.69,    773.617,    394.614, 0, 1, 3, 6.35 
Line.L15, 0.00040199,     0.00,     0.00, 1.71826E-9, -0.00756433, 0, 0, 3, 6.35 
Line.L16,    4.41745,     1.10,     0.74,    73.9285,    38.0028, 0, 0, 3, 6.35 
Line.L17,    4.41745,     1.10,     0.74,    73.9285,    38.0028, 0, 1, 3, 6.35 
Line.L18,    37.2957,     9.32,     6.22,    625.395,    318.443, 0, 2, 3, 6.35 
Line.L19,    37.2962,     9.32,     6.22,    625.309,     318.41, 0, 2, 3, 6.35 
Line.L20,    37.2963,     9.32,     6.22,    625.303,    318.408, 0, 2, 3, 6.35 
Line.L21,    30.2339,     7.56,     5.04,    506.922,    257.577, 0, 3, 3, 6.35 
Line.L22,    112.557,    28.14,    18.76,   -1885.75,   -960.027, 0, 18, 3, 6.35 
Line.L23,    121.386,    30.35,    20.23,   -2034.18,   -1036.42, 0, 19, 3, 6.35 
Line.L24,    24.3249,     6.08,     4.05,   -407.707,   -208.053, 0, 19, 3, 6.35 
Line.L25,    30.8894,     7.72,     5.15,   -517.925,   -263.868, 0, 20, 3, 6.35 
Line.L26,    37.4523,     9.36,     6.24,   -628.204,   -319.699, 0, 21, 3, 6.35 
Line.L27, 0.00191448,     0.00,     0.00, 2.24395E-10, -0.0360441, 0, 0, 3, 6.35 
Line.L28,    97.0609,    24.27,    16.18,   -1627.44,   -828.976, 0, 0, 3, 6.35 
Line.L29,    142.792,    35.70,    23.80,    2392.49,    1217.56, 0, 15, 3, 6.35 
Line.L30,    135.074,    33.77,    22.51,    2259.47,    1149.17, 0, 14, 3, 6.35 
Line.L31,    94.9617,    23.74,    15.83,    1586.28,    805.696, 0, 9, 3, 6.35 
Line.L32,    91.0976,    22.77,    15.18,    1520.91,    772.232, 0, 8, 3, 6.35 
Line.L33,    77.8935,    19.47,    12.98,    1299.83,    660.161, 0, 7, 3, 6.35 
Line.L34,    70.8762,    17.72,    11.81,    1181.97,    599.479, 0, 6, 3, 6.35 
Line.L35, 0.000159779,     0.00,     0.00, 1.77148E-10, -0.00298758, 0, 0, 3, 6.35 
Line.L36,    40.1139,    10.03,     6.69,    669.634,    341.218, 0, 5, 3, 6.35 
