Element,  Total(W), Total(var),  I2R(W), I2X(var), No-load(W), No-load(var)
Line.S01, 9820.038, 6351.847, 9820.038, 6351.847, 0, 0
Line.L1, 2.121356E-8, -8.306034, 2.121356E-8, -8.306034, 0, 0
Line.L2, 1504.7, 973.3146, 1504.7, 973.3146, 0, 0
Line.L3, 9242.265, 5974.255, 9242.265, 5974.255, 0, 0
Line.L4, 4128.18, 2665.726, 4128.18, 2665.726, 0, 0
Line.L5, 3297.439, 2128.086, 3297.439, 2128.086, 0, 0
Line.L6, 4616.454, 2979.449, 4616.454, 2979.449, 0, 0
Line.L7, 12.13384, -21.64834, 12.13384, -21.64834, 0, 0
Line.L8, 11.60336, -37.61985, 11.60336, -37.61985, 0, 0
Line.L9, 5.944971, -56.50501, 5.944971, -56.50501, 0, 0
Line.L10, 73.47886, 45.06535, 73.47886, 45.06535, 0, 0
Line.L11, 1462.252, 896.8756, 1462.252, 896.8756, 0, 0
Line.L12, 1472.802, 893.0172, 1472.802, 893.0172, 0, 0
Line.L13, 21.32227, 10.92905, 21.32227, 10.92905, 0, 0
Line.L14, 365.1532, 172.4355, 365.1532, 172.4355, 0, 0
Line.L15, -7.458616E-7, -7.564334, -7.458616E-7, -7.564334, 0, 0
Line.L16, 0.380536, -7.315187, 0.380536, -7.315187, 0, 0
Line.L17, 0.380536, -7.315187, 0.380536, -7.315187, 0, 0
Line.L18, 86.25514, 32.41287, 86.25514, 32.41287, 0, 0
Line.L19, 5.424939, 2.038837, 5.424939, 2.038837, 0, 0
Line.L20, 230.027, 86.47858, 230.027, 86.47858, 0, 0
Line.L21, 178.9711, 41.32241, 178.9711, 41.32241, 0, 0
Line.L22, 731.251, 456.3297, 731.251, 456.3297, 0, 0
Line.L23, 965.4099, 606.5691, 965.4099, 606.5691, 0, 0
Line.L24, 12.46108, -0.01243437, 12.46108, -0.01243437, 0, 0
Line.L25, 73.67805, 18.26993, 73.67805, 18.26993, 0, 0
Line.L26, 206.7751, 78.13165, 206.7751, 78.13165, 0, 0
Line.L27, 2.972004E-7, -36.04408, 2.972004E-7, -36.04408, 0, 0
Line.L28, 874.4331, 536.3911, 874.4331, 536.3911, 0, 0
Line.L29, 3976.034, 2527.401, 3976.034, 2527.401, 0, 0
Line.L30, 3557.808, 2253.883, 3557.808, 2253.883, 0, 0
Line.L31, 914.4062, 559.6143, 914.4062, 559.6143, 0, 0
Line.L32, 611.7077, 372.1344, 611.7077, 372.1344, 0, 0
Line.L33, 1133.475, 670.3662, 1133.475, 670.3662, 0, 0
Line.L34, 39.18279, 22.66197, 39.18279, 22.66197, 0, 0
Line.L35, -6.10199E-7, -2.987578, -6.10199E-7, -2.987578, 0, 0
Line.L36, 12.55122, 5.216752, 12.55122, 5.216752, 0, 0
Line.L37, 190.9276, 50.1778, 190.9276, 50.1778, 0, 0
Line.L38, 146.1376, 21.21134, 146.1376, 21.21134, 0, 0
Line.L39, 11.83141, -5.283003, 11.83141, -5.283003, 0, 0
Line.L40, 6.592715, -10.20876, 6.592715, -10.20876, 0, 0
Line.L41, 3.649934E-8, -15.72185, 3.649934E-8, -15.72185, 0, 0
Line.L42, 920.8203, 532.633, 920.8203, 532.633, 0, 0
Line.L43, 241.4222, 137.1649, 241.4222, 137.1649, 0, 0
Line.L44, 221.7959, 121.3465, 221.7959, 121.3465, 0, 0
Line.L45, 2.817993E-7, -16.38924, 2.817993E-7, -16.38924, 0, 0
Line.L46, 277.2546, 151.7053, 277.2546, 151.7053, 0, 0
