Bus, BasekV, Node1, Magnitude1, Angle1, pu1, Node2, Magnitude2, Angle2, pu2, Node3, Magnitude3, Angle3, pu3
"SUBSTATION", 11, 1,    6341.88,   -0.1,   0.99859, 2,    6341.88, -120.1,   0.99859, 3,    6341.88,  119.9,   0.99859
"3W_COLONY", 11, 1,    6324.62,   -0.1,   0.99587, 2,    6324.62, -120.1,   0.99587, 3,    6324.62,  119.9,   0.99587
"2W_CURTI", 11, 1,    6324.62,   -0.1,   0.99587, 2,    6324.62, -120.1,   0.99587, 3,    6324.62,  119.9,   0.99587
"COLONY", 11, 1,    6321.97,   -0.1,   0.99545, 2,    6321.97, -120.1,   0.99545, 3,    6321.97,  119.9,   0.99545
"LOTLIKAR_NAGA_MASJID", 11, 1,    6305.24,   -0.1,   0.99282, 2,    6305.24, -120.1,   0.99282, 3,    6305.24,  119.9,   0.99282
"USMANIA", 11, 1,    6297.46,   -0.1,   0.99159, 2,    6297.46, -120.1,   0.99159, 3,    6297.46,  119.9,   0.99159
"HUSSAIN", 11, 1,     6291.1,   -0.1,   0.99059, 2,     6291.1, -120.1,   0.99059, 3,     6291.1,  119.9,   0.99059
"4W_SPORTS_C", 11, 1,    6282.21,   -0.2,   0.98919, 2,    6282.21, -120.2,   0.98919, 3,    6282.21,  119.8,   0.98919
"SPORTS_COMPLEX", 11, 1,    6281.83,   -0.2,   0.98913, 2,    6281.83, -120.2,   0.98913, 3,    6281.83,  119.8,   0.98913
"SPORTS_COMPLEX_HTC", 11, 1,    6281.37,   -0.2,   0.98906, 2,    6281.37, -120.2,   0.98906, 3,    6281.37,  119.8,   0.98906
"3W_SPORTS_C", 11, 1,    6281.91,   -0.2,   0.98914, 2,    6281.91, -120.2,   0.98914, 3,    6281.91,  119.8,   0.98914
"4W_MILITARY_GATE", 11, 1,    6275.94,   -0.2,    0.9882, 2,    6275.94, -120.2,    0.9882, 3,    6275.94,  119.8,    0.9882
"4W_SHEETAL_BAR", 11, 1,    6275.71,   -0.2,   0.98817, 2,    6275.71, -120.2,   0.98817, 3,    6275.71,  119.8,   0.98817
"VARKHANDE", 11, 1,    6275.55,   -0.2,   0.98814, 2,    6275.55, -120.2,   0.98814, 3,    6275.55,  119.8,   0.98814
