Name, Imax, %normal, %emergency, kW, kvar, NumCustomers, TotalCustomers, NumPhases, kVBase
Line.F01,    343.797,    85.95,    57.30,    5816.53,    2981.31, 0, 37, 3, 6.35 
Line.F02,    337.268,    84.32,    56.21,    5675.83,    2905.66, 0, 36, 3, 6.35 
Line.F03,    328.447,    82.11,    54.74,    5514.99,    2821.21, 0, 35, 3, 6.35 
Line.F04,     319.61,    79.90,    53.27,    5356.24,    2738.11, 0, 34, 3, 6.35 
Line.F05,    310.797,    77.70,    51.80,    5196.76,    2654.44, 0, 33, 3, 6.35 
Line.F06,    310.797,    77.70,    51.80,    5196.01,    2653.95, 0, 33, 3, 6.35 
Line.F07,    304.211,    76.05,    50.70,    5082.02,    2595.66, 0, 32, 3, 6.35 
Line.F08,    295.418,    73.85,    49.24,    4930.13,    2516.84, 0, 31, 3, 6.35 
Line.F09,    295.418,    73.85,    49.24,    4929.45,     2516.4, 0, 31, 3, 6.35 
Line.F10,    286.632,    71.66,    47.77,    4780.03,    2439.15, 0, 30, 3, 6.35 
Line.F11,    280.028,    70.01,    46.67,    4667.49,    2381.79, 0, 29, 3, 6.35 
Line.F12,     272.31,    68.08,    45.38,    4536.02,    2314.27, 0, 28, 3, 6.35 
Line.F13,    267.024,    66.76,    44.50,    4447.25,    2269.27, 0, 27, 3, 6.35 
Line.F14,    5.28617,     1.32,     0.88,    88.1945,    44.6212, 0, 1, 3, 6.35 
Line.F15,    259.317,    64.83,    43.22,    4313.77,     2200.4, 0, 26, 3, 6.35 
Line.F16,    129.659,    32.41,    21.61,    2156.62,    1100.03, 0, 0, 3, 6.35 
Line.F17,    129.659,    32.41,    21.61,    2156.62,    1100.03, 0, 26, 3, 6.35 
Line.F18,    252.751,    63.19,    42.13,    4202.48,     2142.9, 0, 25, 3, 6.35 
Line.F19,    246.123,    61.53,    41.02,    4088.49,    2084.59, 0, 24, 3, 6.35 
Line.F20,    246.123,    61.53,    41.02,    4084.71,    2082.14, 0, 24, 3, 6.35 
Line.F21,    232.102,    58.03,    38.68,    3849.14,     1961.3, 0, 22, 3, 6.35 
