Element,  Total(W), Total(var),  I2R(W), I2X(var), No-load(W), No-load(var)
Line.F01, 30516.22, 19874.72, 30516.22, 19874.72, 0, 0
Line.F02, 12865.1, 8377.511, 12865.1, 8377.511, 0, 0
Line.F03, 10812.56, 7039.088, 10812.56, 7039.088, 0, 0
Line.F04, 12310.21, 8011.797, 12310.21, 8011.797, 0, 0
Line.F05, 753.4413, 490.2024, 753.4413, 490.2024, 0, 0
Line.F06, 3767.212, 2451.029, 3767.212, 2451.029, 0, 0
Line.F07, 5341.672, 3474.514, 5341.672, 3474.514, 0, 0
Line.F08, 680.7185, 442.6091, 680.7185, 442.6091, 0, 0
Line.F09, 3131.31, 2036.016, 3131.31, 2036.016, 0, 0
Line.F10, 2306.996, 1499.418, 2306.996, 1499.418, 0, 0
Line.F11, 2905.313, 1887.659, 2905.313, 1887.659, 0, 0
Line.F12, 578.3899, 375.6351, 578.3899, 375.6351, 0, 0
Line.F13, 5283.46, 3430.289, 5283.46, 3430.289, 0, 0
Line.F14, 5.450865, -71.11303, 5.450865, -71.11303, 0, 0
Line.F15, 524.5133, 340.3749, 524.5133, 340.3749, 0, 0
Line.F16, 885.1198, 559.3124, 885.1198, 559.3124, 0, 0
Line.F17, 885.1198, 559.3124, 885.1198, 559.3124, 0, 0
Line.F18, 3737.17, 2424.106, 3737.17, 2424.106, 0, 0
Line.F19, 3779.978, 2450.687, 3779.978, 2450.687, 0, 0
Line.F20, 3189.37, 2067.812, 3189.37, 2067.812, 0, 0
Line.F21, 1974.928, 1278.913, 1974.928, 1278.913, 0, 0
Line.F22, 1.533556, -1.956356, 1.533556, -1.956356, 0, 0
Line.F23, 2.185267, -28.17098, 2.185267, -28.17098, 0, 0
Line.F24, 4.20354E-7, -29.60071, 4.20354E-7, -29.60071, 0, 0
Line.F25, 420.1983, 272.1115, 420.1983, 272.1115, 0, 0
Line.F26, 0.08526673, -2.900545, 0.08526673, -2.900545, 0, 0
Line.F27, -1.508074E-6, -2.956359, -1.508074E-6, -2.956359, 0, 0
Line.F28, 132.764, 83.9532, 132.764, 83.9532, 0, 0
Line.F29, 452.5172, 278.4917, 452.5172, 278.4917, 0, 0
Line.F30, 377.1007, 232.0863, 377.1007, 232.0863, 0, 0
Line.F31, 297.2757, 179.8385, 297.2757, 179.8385, 0, 0
Line.F32, 130.4558, 78.01936, 130.4558, 78.01936, 0, 0
Line.F33, 64.74113, 36.47832, 64.74113, 36.47832, 0, 0
Line.F34, 48.4114, 25.78934, 48.4114, 25.78934, 0, 0
Line.F35, 302.3193, 146.1413, 302.3193, 146.1413, 0, 0
Line.F36, 200.6591, 79.63163, 200.6591, 79.63163, 0, 0
Line.F37, 200.6724, 79.67498, 200.6724, 79.67498, 0, 0
Line.F38, 712.9211, 437.2611, 712.9211, 437.2611, 0, 0
Line.F39, 356.4646, 218.6437, 356.4646, 218.6437, 0, 0
Line.F40, 612.9562, 371.8636, 612.9562, 371.8636, 0, 0
Line.F41, 444.2614, 261.4575, 444.2614, 261.4575, 0, 0
Line.F42, 205.2416, 117.0402, 205.2416, 117.0402, 0, 0
Line.F43, 212.9824, 111.5555, 212.9824, 111.5555, 0, 0
Line.F44, 12.75967, 5.420216, 12.75967, 5.420216, 0, 0
Line.F45, 24.23813, -7.590761, 24.23813, -7.590761, 0, 0
Line.F46, 11.75112, -50.94135, 11.75112, -50.94135, 0, 0
Line.F47, 11.75504, -50.92859, 11.75504, -50.92859, 0, 0
Line.F48, 1098.259, 690.8718, 1098.259, 690.8718, 0, 0
Line.F49, 18.41566, -13.92565, 18.41566, -13.92565, 0, 0
Line.F50, 8.882282, -38.46495, 8.882282, -38.46495, 0, 0
Line.F51, 6.934578E-7, -73.79424, 6.934578E-7, -73.79424, 0, 0
Line.F52, 974.1676, 604.5082, 974.1676, 604.5082, 0, 0
