Bus, BasekV, Node1, Magnitude1, Angle1, pu1, Node2, Magnitude2, Angle2, pu2, Node3, Magnitude3, Angle3, pu3
"COLONY_SS", 11, 1,    6337.14,   -0.1,   0.99784, 2,    6337.14, -120.1,   0.99784, 3,    6337.14,  119.9,   0.99784
"GOLDEN_NEST", 11, 1,    6301.98,   -0.2,    0.9923, 2,    6301.98, -120.2,    0.9923, 3,    6301.98,  119.8,    0.9923
"RATNADEEP_APT", 11, 1,    6286.87,   -0.2,   0.98992, 2,    6286.87, -120.2,   0.98992, 3,    6286.87,  119.8,   0.98992
"SUREKHA_PARKAR", 11, 1,    6273.83,   -0.2,   0.98787, 2,    6273.83, -120.2,   0.98787, 3,    6273.83,  119.8,   0.98787
"NAGZAR", 11, 1,    6258.57,   -0.2,   0.98547, 2,    6258.57, -120.2,   0.98547, 3,    6258.57,  119.8,   0.98547
"3_WAY_SURAJ_BAR", 11, 1,    6257.61,   -0.2,   0.98532, 2,    6257.61, -120.2,   0.98532, 3,    6257.61,  119.8,   0.98532
"SARTHAK_NEST", 11, 1,    6252.81,   -0.2,   0.98456, 2,    6252.81, -120.2,   0.98456, 3,    6252.81,  119.8,   0.98456
"PROGRESS", 11, 1,    6245.85,   -0.2,   0.98347, 2,    6245.85, -120.2,   0.98347, 3,    6245.85,  119.8,   0.98347
"3_WAY_PROGRESS", 11, 1,    6244.94,   -0.2,   0.98332, 2,    6244.94, -120.2,   0.98332, 3,    6244.94,  119.8,   0.98332
"COMMERTIAL_TAX", 11, 1,    6240.74,   -0.2,   0.98266, 2,    6240.74, -120.2,   0.98266, 3,    6240.74,  119.8,   0.98266
"SADASHIV_TWIN_TOWER", 11, 1,    6237.55,   -0.2,   0.98216, 2,    6237.55, -120.2,   0.98216, 3,    6237.55,  119.8,   0.98216
"VEREKAR_2", 11, 1,    6233.44,   -0.2,   0.98151, 2,    6233.44, -120.2,   0.98151, 3,    6233.44,  119.8,   0.98151
"3_WAY_VEREKAR_2", 11, 1,     6232.6,   -0.2,   0.98138, 2,     6232.6, -120.2,   0.98138, 3,     6232.6,  119.8,   0.98138
"BANDODKAR", 11, 1,    6224.76,   -0.3,   0.98015, 2,    6224.76, -120.3,   0.98015, 3,    6224.76,  119.7,   0.98015
"PANDITWADA", 11, 1,    6232.19,   -0.2,   0.98132, 2,    6232.19, -120.2,   0.98132, 3,    6232.19,  119.8,   0.98132
"3_WAY_BAGAYTDAR", 11, 1,    6223.96,   -0.3,   0.98002, 2,    6223.96, -120.3,   0.98002, 3,    6223.96,  119.7,   0.98002
"KAZIWADA", 11, 1,    6221.26,   -0.3,   0.97959, 2,    6221.26, -120.3,   0.97959, 3,    6221.26,  119.7,   0.97959
"TWIN_TOWER", 11, 1,     6215.4,   -0.3,   0.97867, 2,     6215.4, -120.3,   0.97867, 3,     6215.4,  119.7,   0.97867
"HOTEL_MENINO", 11, 1,    6209.32,   -0.3,   0.97771, 2,    6209.32, -120.3,   0.97771, 3,    6209.32,  119.7,   0.97771
"3W_CANARA", 11, 1,    6204.19,   -0.3,   0.97691, 2,    6204.19, -120.3,   0.97691, 3,    6204.19,  119.7,   0.97691
"3_WAY_BHOSLE_1", 11, 1,    6200.82,   -0.3,   0.97638, 2,    6200.82, -120.3,   0.97638, 3,    6200.82,  119.7,   0.97638
"CANARA_BANK", 11, 1,    6204.14,   -0.3,    0.9769, 2,    6204.14, -120.3,    0.9769, 3,    6204.14,  119.7,    0.9769
"KCA", 11, 1,    6203.98,   -0.3,   0.97687, 2,    6203.98, -120.3,   0.97687, 3,    6203.98,  119.7,   0.97687
"2W_GANGANATH", 11, 1,    6203.98,   -0.3,   0.97687, 2,    6203.98, -120.3,   0.97687, 3,    6203.98,  119.7,   0.97687
"3_WAY_BHOSLE_2", 11, 1,     6200.1,   -0.3,   0.97626, 2,     6200.1, -120.3,   0.97626, 3,     6200.1,  119.7,   0.97626
"SUPER_MARKET", 11, 1,    6200.09,   -0.3,   0.97626, 2,    6200.09, -120.3,   0.97626, 3,    6200.09,  119.7,   0.97626
"3_WAY_BAZAR", 11, 1,    6200.09,   -0.3,   0.97626, 2,    6200.09, -120.3,   0.97626, 3,    6200.09,  119.7,   0.97626
"BHOSLE", 11, 1,     6199.7,   -0.3,    0.9762, 2,     6199.7, -120.3,    0.9762, 3,     6199.7,  119.7,    0.9762
