Name, Imax, %normal, %emergency, kW, kvar, NumCustomers, TotalCustomers, NumPhases, kVBase
Line.M01,    34.4488,     8.61,     5.74,    589.652,    287.632, 0, 39, 3, 6.35 
Line.M02,    33.1589,     8.29,     5.53,    567.682,    276.641, 0, 0, 3, 6.35 
Line.L1,    13.4452,     3.36,     2.24,    229.916,     111.85, 0, 0, 3, 6.35 
Line.L2,    12.6495,     3.16,     2.11,    216.342,    105.079, 0, 1, 3, 6.35 
Line.L3,    12.3483,     3.09,     2.06,    211.072,    102.685, 0, 2, 3, 6.35 
Line.L4,    12.0888,     3.02,     2.01,    206.616,    100.521, 0, 3, 3, 6.35 
Line.L5,    11.4773,     2.87,     1.91,    196.164,    95.3875, 0, 4, 3, 6.35 
Line.L6,    10.1629,     2.54,     1.69,    173.624,    84.5418, 0, 5, 3, 6.35 
Line.L7,    9.33033,     2.33,     1.56,    159.093,    78.1458, 0, 6, 3, 6.35 
Line.L8,     8.1762,     2.04,     1.36,    139.469,    68.3031, 0, 7, 3, 6.35 
Line.L9,    7.18729,     1.80,     1.20,    122.582,    60.0287, 0, 8, 3, 6.35 
Line.L10,    6.46475,     1.62,     1.08,    110.189,    54.0901, 0, 9, 3, 6.35 
Line.L11,    6.11989,     1.53,     1.02,    104.337,     51.152, 0, 10, 3, 6.35 
Line.L12,    5.09596,     1.27,     0.85,     86.862,    42.6147, 0, 11, 3, 6.35 
Line.L13,    3.80774,     0.95,     0.63,    64.8819,    31.8771, 0, 12, 3, 6.35 
Line.L14,    1.82425,     0.46,     0.30,    31.1915,    15.0516, 0, 2, 3, 6.35 
Line.L15,   0.691117,     0.17,     0.12,    11.9145,    5.49507, 0, 1, 3, 6.35 
Line.L16,    1.98368,     0.50,     0.33,    33.6902,      16.83, 0, 14, 3, 6.35 
Line.L17,     1.0284,     0.26,     0.17,    17.4258,    8.80419, 0, 15, 3, 6.35 
Line.L18,   0.194914,     0.05,     0.03,   -3.34363,   -1.58492, 0, 16, 3, 6.35 
Line.L19,   0.947562,     0.24,     0.16,   -16.1769,   -7.86753, 0, 17, 3, 6.35 
