Bus, BasekV, Node1, Magnitude1, Angle1, pu1, Node2, Magnitude2, Angle2, pu2, Node3, Magnitude3, Angle3, pu3
"SUBSTATION", 11, 1,    6348.22,    0.0,   0.99959, 2,    6348.22, -120.0,   0.99959, 3,    6348.22,  120.0,   0.99959
"3_WAY_KHARWADA", 11, 1,    6338.82,    0.0,   0.99811, 2,    6338.82, -120.0,   0.99811, 3,    6338.82,  120.0,   0.99811
"KONAR_GAUNEM_DTC", 11, 1,    6343.11,    0.0,   0.99878, 2,    6343.11, -120.0,   0.99878, 3,    6343.11,  120.0,   0.99878
"RAM_MANDIR", 11, 1,    6337.82,    0.0,   0.99795, 2,    6337.82, -120.0,   0.99795, 3,    6337.82,  120.0,   0.99795
"DEMPO_HTC", 11, 1,    6336.25,    0.0,    0.9977, 2,    6336.25, -120.0,    0.9977, 3,    6336.25,  120.0,    0.9977
"RB_ENGG", 11, 1,    6335.64,    0.0,    0.9976, 2,    6335.64, -120.0,    0.9976, 3,    6335.64,  120.0,    0.9976
"UNDIR_BAKALE", 11, 1,    6335.03,    0.0,   0.99751, 2,    6335.03, -120.0,   0.99751, 3,    6335.03,  120.0,   0.99751
"MULEBHAT", 11, 1,    6333.89,    0.0,   0.99733, 2,    6333.89, -120.0,   0.99733, 3,    6333.89,  120.0,   0.99733
"MARUTI_TEMPLE", 11, 1,    6332.38,    0.0,   0.99709, 2,    6332.38, -120.0,   0.99709, 3,    6332.38,  120.0,   0.99709
"CHIKALI", 11, 1,    6331.23,    0.0,   0.99691, 2,    6331.23, -120.0,   0.99691, 3,    6331.23,  120.0,   0.99691
"ADPAI", 11, 1,     6330.2,    0.0,   0.99675, 2,     6330.2, -120.0,   0.99675, 3,     6330.2,  120.0,   0.99675
"DURBHAT", 11, 1,    6329.16,   -0.1,   0.99658, 2,    6329.16, -120.1,   0.99658, 3,    6329.16,  119.9,   0.99658
"SEWERAGE", 11, 1,    6329.15,   -0.1,   0.99658, 2,    6329.15, -120.1,   0.99658, 3,    6329.15,  119.9,   0.99658
"KASWADA", 11, 1,    6328.69,   -0.1,   0.99651, 2,    6328.69, -120.1,   0.99651, 3,    6328.69,  119.9,   0.99651
"LONDIYAR_WADEM", 11, 1,    6328.32,   -0.1,   0.99645, 2,    6328.32, -120.1,   0.99645, 3,    6328.32,  119.9,   0.99645
"3_WAY_TALAULIM", 11, 1,    6328.31,   -0.1,   0.99645, 2,    6328.31, -120.1,   0.99645, 3,    6328.31,  119.9,   0.99645
"NEW_TALAULIM", 11, 1,    6328.24,   -0.1,   0.99644, 2,    6328.24, -120.1,   0.99644, 3,    6328.24,  119.9,   0.99644
"WADI", 11, 1,    6328.14,   -0.1,   0.99642, 2,    6328.14, -120.1,   0.99642, 3,    6328.14,  119.9,   0.99642
"TALAULIM", 11, 1,    6328.17,   -0.1,   0.99643, 2,    6328.17, -120.1,   0.99643, 3,    6328.17,  119.9,   0.99643
"MAHALAKSHMI_NAGAR", 11, 1,    6328.02,   -0.1,    0.9964, 2,    6328.02, -120.1,    0.9964, 3,    6328.02,  119.9,    0.9964
