Element,  Total(W), Total(var),  I2R(W), I2X(var), No-load(W), No-load(var)
Line.M01, 819.3415, 262.4702, 819.3415, 262.4702, 0, 0
Line.M02, 428.8568, 125.8953, 428.8568, 125.8953, 0, 0
Line.L1, 33.98589, -52.21298, 33.98589, -52.21298, 0, 0
Line.L2, 50.43366, -91.75669, 50.43366, -91.75669, 0, 0
Line.L3, 19.09065, -37.05468, 19.09065, -37.05468, 0, 0
Line.L4, 18.46793, -37.91583, 18.46793, -37.91583, 0, 0
Line.L5, 33.0399, -77.58306, 33.0399, -77.58306, 0, 0
Line.L6, 38.88446, -123.3777, 38.88446, -123.3777, 0, 0
Line.L7, 27.30539, -106.0743, 27.30539, -106.0743, 0, 0
Line.L8, 21.20373, -111.4128, 21.20373, -111.4128, 0, 0
Line.L9, 18.96652, -132.5563, 18.96652, -132.5563, 0, 0
Line.L10, 0.1629956, -1.433653, 0.1629956, -1.433653, 0, 0
Line.L11, 7.042403, -69.62987, 7.042403, -69.62987, 0, 0
Line.L12, 4.76166, -69.26515, 4.76166, -69.26515, 0, 0
Line.L13, 0.1696412, -4.508805, 0.1696412, -4.508805, 0, 0
Line.L14, 0.2856531, -33.69154, 0.2856531, -33.69154, 0, 0
Line.L15, 0.1809956, -148.7892, 0.1809956, -148.7892, 0, 0
Line.L16, 0.6911616, -68.84373, 0.6911616, -68.84373, 0, 0
Line.L17, 0.3952485, -146.7964, 0.3952485, -146.7964, 0, 0
Line.L18, 0.007197536, -75.44603, 0.007197536, -75.44603, 0, 0
Line.L19, 0.08431486, -37.05454, 0.08431486, -37.05454, 0, 0
Line.L20, 2.636971, -71.72699, 2.636971, -71.72699, 0, 0
Line.L21, 3.083522, -50.49644, 3.083522, -50.49644, 0, 0
Line.L22, 0.1892487, -2.186255, 0.1892487, -2.186255, 0, 0
Line.L23, 45.01925, -49.0893, 45.01925, -49.0893, 0, 0
Line.L24, 1.959267, -1.798797, 1.959267, -1.798797, 0, 0
Line.L25, 8.957219, -7.232826, 8.957219, -7.232826, 0, 0
Line.L26, 14.39982, -9.064214, 14.39982, -9.064214, 0, 0
Line.L27, 47.10269, -23.87861, 47.10269, -23.87861, 0, 0
Line.L28, 43.24918, -21.94705, 43.24918, -21.94705, 0, 0
Line.L29, 93.63376, -43.43355, 93.63376, -43.43355, 0, 0
Line.L30, 199.676, -66.89821, 199.676, -66.89821, 0, 0
Line.L31, 31.33279, -7.606742, 31.33279, -7.606742, 0, 0
Line.L32, 0.4098252, -1.579829, 0.4098252, -1.579829, 0, 0
Line.L33, 4.220078, -20.18407, 4.220078, -20.18407, 0, 0
Line.L34, 10.55036, -68.70049, 10.55036, -68.70049, 0, 0
Line.L35, 2.112958, -29.41043, 2.112958, -29.41043, 0, 0
Line.L36, 1.712611, -23.82057, 1.712611, -23.82057, 0, 0
Line.L37, 0.7297143, -28.46596, 0.7297143, -28.46596, 0, 0
Line.L38, 0.3661426, -16.5411, 0.3661426, -16.5411, 0, 0
Line.L39, 0.4281216, -24.96744, 0.4281216, -24.96744, 0, 0
Line.L40, 0.2021723, -29.1175, 0.2021723, -29.1175, 0, 0
Line.L41, 0.04212393, -23.06416, 0.04212393, -23.06416, 0, 0
Line.L42, 0.02683791, -104.2034, 0.02683791, -104.2034, 0, 0
Line.L43, 0.3508003, -77.66834, 0.3508003, -77.66834, 0, 0
Line.L44, 0.6298731, -139.9952, 0.6298731, -139.9952, 0, 0
Line.L45, 1.349823, -107.2006, 1.349823, -107.2006, 0, 0
Line.L46, 1.544554, -75.6699, 1.544554, -75.6699, 0, 0
Line.L47, 0.2345372, -19.40086, 0.2345372, -19.40086, 0, 0
Line.L48, 0.5932483, -49.03535, 0.5932483, -49.03535, 0, 0
Line.L49, 0.06230273, -16.74138, 0.06230273, -16.74138, 0, 0
Line.L50, 0, 0, 0, 0, 0, 0
Line.L51, 0, 0, 0, 0, 0, 0
Line.L52, 0, 0, 0, 0, 0, 0
Line.L54, 11.13713, -133.0197, 11.13713, -133.0197, 0, 0
Line.L55, 7.062545, -106.4258, 7.062545, -106.4258, 0, 0
Line.L56, 2.14937, -124.163, 2.14937, -124.163, 0, 0
Line.L57, 257.4504, 13.91136, 257.4504, 13.91136, 0, 0
Line.L58, 177.894, -7.572125, 177.894, -7.572125, 0, 0
Line.L59, 46.98107, -3.822047, 46.98107, -3.822047, 0, 0
Line.L60, 15.16479, -3.499896, 15.16479, -3.499896, 0, 0
Line.L61, 48.7002, -19.9656, 48.7002, -19.9656, 0, 0
Line.L62, 8.595198, -7.178083, 8.595198, -7.178083, 0, 0
Line.L63, 32.73676, -40.73106, 32.73676, -40.73106, 0, 0
Line.L64, 1.304016, -19.5036, 1.304016, -19.5036, 0, 0
Line.L65, 0.3664242, -24.43493, 0.3664242, -24.43493, 0, 0
Line.L66, 18.40653, -70.29632, 18.40653, -70.29632, 0, 0
Line.L67, 0.7306204, -41.9222, 0.7306204, -41.9222, 0, 0
Line.L68, 3.737149, -63.23372, 3.737149, -63.23372, 0, 0
Line.L69, 1.160294, -131.3599, 1.160294, -131.3599, 0, 0
Line.L70, 0.6321877, -49.53671, 0.6321877, -49.53671, 0, 0
Line.L73, -5.283553E-8, -45.41941, -5.283553E-8, -45.41941, 0, 0
Transformer.3_WAY_KHARWADA, 7.776622E-10, 0.08301788, 7.776622E-10, 0.08301788, 0, 0
Transformer.RAM_MANDIR, 65.09875, 103.9633, 65.09875, 103.9633, 0, 0
Transformer.DEMPO_HTC, 9.467614, 15.19059, 9.467614, 15.19059, 0, 0
Transformer.RB_ENGG, 6.951171, 11.175, 6.951171, 11.175, 0, 0
Transformer.UNDIR_BAKALE, 38.43031, 61.40736, 38.43031, 61.40736, 0, 0
Transformer.MULEBHAT, 177.4508, 283.2479, 177.4508, 283.2479, 0, 0
Transformer.MARUTI_TEMPLE, 71.62353, 114.375, 71.62353, 114.375, 0, 0
Transformer.CHIKALI, 137.0582, 218.7917, 137.0582, 218.7917, 0, 0
Transformer.ADPAI, 100.6997, 160.773, 100.6997, 160.773, 0, 0
Transformer.DURBHAT, 53.94027, 86.15705, 53.94027, 86.15705, 0, 0
Transformer.SEWERAGE, 12.17766, 19.51491, 12.17766, 19.51491, 0, 0
Transformer.KASWADA, 107.6841, 171.9183, 107.6841, 171.9183, 0, 0
Transformer.LONDIYAR_WADEM, 170.3224, 271.8727, 170.3224, 271.8727, 0, 0
Transformer.3_WAY_TALAULIM, 7.22378E-10, 0.08274267, 7.22378E-10, 0.08274267, 0, 0
Transformer.NEW_TALAULIM, 131.6598, 210.1772, 131.6598, 210.1772, 0, 0
Transformer.WADI, 49.36542, 78.85676, 49.36542, 78.85676, 0, 0
Transformer.TALAULIM, 93.73754, 149.6631, 93.73754, 149.6631, 0, 0
Transformer.MAHALAKSHMI_NAGAR, 154.0509, 245.9076, 154.0509, 245.9076, 0, 0
Transformer.PAUNWADA, 58.26097, 93.05172, 58.26097, 93.05172, 0, 0
Transformer.3_WAY_DON_KHAMB, 7.106639E-10, 0.0827364, 7.106639E-10, 0.0827364, 0, 0
Transformer.KAVLE_MATH, 113.2274, 180.7638, 113.2274, 180.7638, 0, 0
Transformer.SHANTADURGA_OLD, 78.04388, 124.6201, 78.04388, 124.6201, 0, 0
Transformer.3_WAY_SHANTADURGA, 6.489713E-10, 0.0827506, 6.489713E-10, 0.0827506, 0, 0
Transformer.SANATAN_1, 66.37173, 105.9944, 66.37173, 105.9944, 0, 0
Transformer.SANATAN_2, 35.52884, 56.77723, 35.52884, 56.77723, 0, 0
Transformer.RAMNATHI_DEVASTHAN, 124.6687, 199.0213, 124.6687, 199.0213, 0, 0
Transformer.RAMNATHI, 83.78471, 133.781, 83.78471, 133.781, 0, 0
