bus,v_fund_pu,base_thd_pct,ev_thd_pct,thd_increase_pct,exceeds_ieee519
mamladtdarbus,0.9137593504910709,0.0,6.5468,6.5468,True
kashimathbus,0.9186022250429108,0.0,6.1465,6.1465,True
kayji_skylinebus13,0.9261317025368548,0.0,5.5326,5.5326,True
saad_ibus,0.9302252152724689,0.0,5.203,5.203,True
shantadurga_newbus1,0.9320325351001447,0.0,5.0584,5.0584,True
durbhatbus1,0.9377938317086069,0.0,4.6012,4.6012,False
military_gatebus,0.9382765459136628,0.0,4.5632,4.5632,False
adpaibus1,0.9388765930080246,0.0,4.5159,4.5159,False
kapileshwaribus1,0.9436831914107439,0.0,4.1396,4.1396,False
khadpabandh_garden_iibus,0.9441599485216172,0.0,4.1025,4.1025,False
agarwal_htcbus5,0.9442847214486552,0.0,4.0928,4.0928,False
chikalibus1,0.9490164698100728,0.0,3.7265,3.7265,False
rprs_schoolbus1,0.9559234597652974,0.0,3.1984,3.1984,False
rajendra_talakbus1,0.9561048617427916,0.0,3.1846,3.1846,False
shigumomand_lv,0.9586828146026433,0.0,2.9895,2.9895,False
mgschool_lv,0.9638187847672738,0.0,2.604,2.604,False
ramnathibus1,0.9642561433429973,0.0,2.5713,2.5713,False
surya_masalabus9,0.9120059237044078,0.0,1.0039,1.0039,False
perigolbus1,0.9244607117327526,0.0,0.8502,0.8502,False
daagbus,0.9282530190448828,0.0,0.8042,0.8042,False
rajmudra_i_bus,0.9289225206041888,0.0,0.7961,0.7961,False
pesbus,0.9298335316902286,0.0,0.7852,0.7852,False
gtdc_touristbus,0.9298441120560819,0.0,0.785,0.785,False
ganesh_templebus,0.9298854801067359,0.0,0.7845,0.7845,False
shivnagaribus,0.9305145307351257,0.0,0.777,0.777,False
aieshabus,0.9306535368810153,0.0,0.7753,0.7753,False
goa_state_bankbus,0.9310059300789323,0.0,0.7711,0.7711,False
police_stationbus,0.9311542545462642,0.0,0.7693,0.7693,False
dk_arcadebus,0.9313966967126249,0.0,0.7664,0.7664,False
coelobus,0.9314492860724886,0.0,0.7658,0.7658,False
kalpanabus,0.9315854654394355,0.0,0.7641,0.7641,False
bhoslebus,0.9322559090371408,0.0,0.7561,0.7561,False
sunrise_cashewbus,0.9324774694481061,0.0,0.7534,0.7534,False
bhagwati_ibus,0.9328995636679216,0.0,0.7484,0.7484,False
canara_bankbus,0.9329308803826457,0.0,0.748,0.748,False
bhagwati_iibus,0.932980261872963,0.0,0.7474,0.7474,False
friends_colonybus,0.9344969384739464,0.0,0.7293,0.7293,False
rajdeep_galaria_i_bus,0.9352245676873673,0.0,0.7207,0.7207,False
rajdeep_galaria_ii_bus,0.9352174494111557,0.0,0.7207,0.7207,False
ravinagarbus,0.9353411184634802,0.0,0.7193,0.7193,False
kaziwadabus,0.9355242036300931,0.0,0.7171,0.7171,False
sumit_shivambus,0.9361603092863837,0.0,0.7095,0.7095,False
iti_htcbus,0.9362227286847796,0.0,0.7088,0.7088,False
katmgaalbus,0.9362915164101846,0.0,0.708,0.708,False
kedarbus,0.936550751078043,0.0,0.7049,0.7049,False
saad_iibus,0.9367113600173678,0.0,0.703,0.703,False
housing_board_ibus,0.9370850216220733,0.0,0.6986,0.6986,False
purohitbus,0.9372309602837734,0.0,0.6968,0.6968,False
raj_durgabus,0.9375202850286986,0.0,0.6934,0.6934,False
rajmudra_ii_bus,0.9375398299559068,0.0,0.6932,0.6932,False
gvmsbus,0.937732066493925,0.0,0.6909,0.6909,False
pwdbus,0.9377777292727142,0.0,0.6904,0.6904,False
